stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,62.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.13,0,0,0,35.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.42,3.59,0,0,14.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,36.66,0,0,0,24.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.05,12.23,0,0,74.73,3.07,0,5.68,0,0,0,0,0,0,0,0
 14-21,0,0,8.11,0,0,0.99,0,0,0,1.35,0.94,0,0,0,0,0,0,1.05,1.84,0,0,4.4,30.3,3.93,0,0,0,0,7.65,0,0,1.13,17.1,0,0,0,0,0
 24-34,0,0,10.84,0,0,4.1,0,0,0,1.09,0,5.64,0.6,0,0,0.78,0,0,6.33,0,0,3.22,68.81,2.48,0.67,0,0,0,0,0.69,1.81,1.89,20.39,0,0,3.3,0,0
 36-46,0,0,4.95,0,0,7.35,0,3.87,0,6.55,0,0,0,0,0,0.6,0,0.7,5.73,0.59,0,1.89,63.92,2.73,3.17,0,0,4.84,0,0,0,0,21.52,0,0,5.21,0,0
 48-58,0,0,3.69,0,0,40.68,3.21,0,2.8,7.45,0,0,0.38,0,0,0,1.59,0,19.37,0,0.96,2.91,94.62,0,0,0.5,0,8.83,0,0,0,0,24.61,0,0,1.26,0,0.62
 60-70,0,0,4.66,0,0,41.87,0,1.38,0,9.12,0,0.92,0,6.34,0,0,0,5.25,14.78,0,0.82,3.59,84.92,1.09,0.98,0,0,10.4,0,0,2.58,0,9.65,0.81,0,0.73,0,0
 72-82,0,0,3.51,4.95,0,33.17,0,0,0,5.56,0,0,0.73,0,0,1.58,0,0,16.15,0,0,1.73,79.81,0,2.22,0.76,0,4.34,0,0,0,0,5.6,0,0.83,8.8,0.71,2.1
 84-94,0,0,3.64,16.05,0,53.99,0,0,0,14.66,0.6,0,1.73,0,0.61,0,0,1.35,20.24,0,1.04,2.54,62.2,1.94,0.71,3.3,0,12.09,0,0,0,0,10.11,0.61,0,5.96,0,0.73
 96-106,0,1.03,2.02,0.85,0,40.91,0,0,0,4.75,0,0.96,2.08,0,0,0,0,0,12.16,0,0.66,0.74,78.01,0,3.84,2.79,0,20.08,0,0,0,0,2.92,0,0,2.64,1.17,3.58
108-118,0,0,3.89,0,8.42,43.86,0.58,3.74,0.64,11.36,0,1.81,1.77,4.92,0.56,0,0,0,14.36,0.44,0,0.48,82.8,0,0,1.87,0,7.82,0,0,0,0,9.34,0.48,0,6.3,0.44,0
120,0,0,8.62,11.1,0,21.6,0,0,0,22.08,0,0,1.79,0,0,0,0,0,50.11,1.46,0,1.82,177.4,4.25,0,14.64,0,4.77,0,0,0,0,6.45,1.37,0,0,2.66,0
