stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,0,71.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.27,317.1,0,0,0,0,0,0,0,0,0,0,0,26.53,0,0,0,0,0,0,0,0,0,0
  7-9,9.76,0,11.24,0,0,0,0,0,0,4.94,0,0,0,182.42,0,0,0,51.64,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.67,0,0,0,0,0,0,0,55.41,0,0,0,37.22,0,0,0,0,0,0
 14-21,0,0,0,3.62,0.99,3.37,0,0,0,0,3.33,0,0,26.53,2.27,1.02,0,0,0,1.88,1.2,6.85,0,1.07
 24-34,0,0,0,0.81,0.86,1.61,0,0,0.66,0,4.03,0,1.51,31.1,0,0,0.77,0,0,0,0,4.35,0,1.2
 36-46,0,0,0,0,0,0.6,0,0.78,0,0,0.91,0,1.14,10.18,0,0,0,0,2.19,0,0,1.12,0,0
 48-58,0,0,0,0,0,3.13,0,1.21,0,0,1.16,0,0.77,11.71,0,0,0,0,0,0,0,5.63,0,0
 60-70,0,0,0,0,0,11.8,0,2.62,0,0,0,0,1.86,14.94,0,0,0,0,0,0,0,2.82,0,2.89
 72-82,0,0,0,5.54,0,2.3,0,3.61,0,0,1.03,2.24,0,0.8,0,0,0,0,1.75,0,0,0,0.56,0
 84-94,0,0,0,0.79,0,15.28,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.82,0,0,3.67,0,0,2.59,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.82,0,0,0,1.61,0,0,2.95,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,3.34,3.7,0,0,9.34,0,0,0,0,0,0,0,1.64,0,0,0,0,0
