stage,epidermis,eye,glial,heart,immune,iridophores,mesenchyme,muscle,neural,olfactory,somites,spinal_cord,vasculature
 14-21,0.86,0,0,0,0,0,1.04,0,3.2,0,0,1.08,0
 24-34,0,0,0,0,0,0,0,0,5.64,0,1.16,1.06,1.48
 36-46,0,0,0.76,0,0,0,0,0,3.37,0,0,0,0
 48-58,0.42,2.41,1.11,0.99,0,0,0,0,7.79,0,0,0.8,0.41
 60-70,0,1.82,0,0,0,0,2.83,0,0,0,0,0,1.04
 72-82,0,0,0,0,0,0.49,0,0,6.94,0,0,0,2.34
 84-94,0,0,0,0,0,0,1.64,0,5.89,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.26,0,0.57,0,0,2.39
108-118,0,1.52,0,0,0,0,0,0,2.82,0,0,0,1.59
120,0,0,0,0,6.7,0,0,0,0,0,0,0,0
