stage,epidermis,eye,glial,neural,olfactory,spinal_cord
 24-34,0,0,0,3.42,1.64,2.21
 36-46,0,1.21,1.5,35.49,0,2.78
 48-58,0,0,0,20.23,0,2.67
 60-70,0,15.46,0,40.15,0,7.8
 72-82,0,19.13,0.78,17.16,0,2.61
 84-94,0,17.08,0.57,15.22,0,2.57
 96-106,2.44,4.01,0,15.38,0,0
108-118,0,2.29,0,15.3,0,0
120,0,0,0,5,0,0
