stage,axial,blastomeres,endoderm,eye,fin_mesenchyme,glial,hatching_gland,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,384.94,6776.81,0,0,0,0,0,0,0,0,0,0,340.92,0
  5-6,424.99,14413.08,21.19,0,0,0,37.6,0,0,181.85,13.91,81.64,249.89,0
  7-9,40.12,84.68,20.57,248.84,0,0,28.68,0,0,2694.07,29.57,590.77,0,0
 10-12,0,0,0,63.59,0,0,3.5,0,0,103.77,4.28,10.73,0,0
 24-34,0,0,0,1.28,0,0,0,0,0,11.97,0,0,0,0.6
 36-46,0,0,0,0,0,0.84,0,1.3,0.66,1.59,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0
 60-70,0,0,0,0,0.89,0,0,0,0.69,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0
108-118,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
