stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2.65,8.95,95.98,7.09,0,20.04,0,0,12.2,6.51,2.89,0,0,2.39,0,0,0,0,22.84,0,0,24.04,461.72,14.19,4.31,14.41,14.4,0,8.9,1.12,17.78,2.69,9.34,136.32,0,0,0,0,0
 24-34,1.72,3.92,13.05,1.26,0,48.63,0.7,0,20.71,1.08,0,1.49,0,2.74,1.71,5.18,0.81,1.58,61.82,0,0,15.88,710.13,0.62,21.32,21.25,0,0,4.59,0,0.76,4.67,2.01,166.42,0,0,17.74,0,3.66
 36-46,0.98,0,12.66,0,0,79.24,1.22,1.35,31.46,2.43,0,0,0,0,16.17,1.38,0,1.45,87.38,0,1.42,20.11,607.35,0,23.11,10.1,0,0,2.15,0,0,0.58,0,135.28,0,1.04,5.39,0,0
 48-58,0,0,12.63,0.69,0,124.04,1.53,6.24,41.69,3.21,3.95,0.44,0,0,0.83,2.4,6.78,4.68,96.88,0,9.24,12.1,314.76,2.64,3.89,12.1,0,0,2.84,0.98,0,1.82,0,67.62,0,0.85,11.44,0,3.63
 60-70,0,0,20.56,0,0,98.27,0,12.13,44.54,7.06,0,0,6.69,0,0,3.24,0,0,132.32,0,13.91,12.15,260.14,2.04,8.44,17.56,0,0,0.94,0,0,1.54,0,25.9,0,1.72,3.16,1.58,1.68
 72-82,2.12,0,11.96,8.66,0,108.3,8.38,7.9,69.59,0,0,3.9,0,3.55,0.73,7.46,0,0,137.96,0,5.62,15.43,332.79,1.23,13.03,20.9,0,2.36,0.87,0,0,4.73,0,15.64,1.27,1.48,10.9,1.96,8.84
 84-94,0.94,0,13.74,0.84,0,89.71,0.56,1.7,45.42,4.39,0,0,7.3,1.64,1.28,3.61,11.2,10.48,161.56,0.84,2.07,9.06,179.29,0,8.72,27.35,0,1.75,7.28,0,0,1.49,0,12.39,4.66,3.82,6.7,3,0
 96-106,3,0,9.92,0.69,3.86,77.23,3.14,0.69,77.24,10.82,0,3.07,3.39,3,5.04,3.98,0.59,0,92.98,0,7.7,4.54,182.15,1.45,14.59,26.51,0,7.16,1.53,0.76,0,2.59,0,13,0,0.67,15.07,4.06,2.89
108-118,0.79,0,15.04,4.27,0.5,80.68,0.52,9.18,85.32,2.54,0,2.35,0.8,0.47,2.26,1.86,2.64,6.62,106.35,0.96,11.13,3.58,229.4,0.96,16.33,25.45,0,0,2.75,0,0,1.48,0,6.6,0,0,6.85,0.61,1.18
120,0,0,15.86,3.91,0,77.78,2.58,0,148.44,8.43,0,0,4.78,0,0,7.27,1.84,0,93.3,0,2.03,8.15,230.72,4.62,16.23,36.68,0,2.76,3.21,0,0,10.93,0,13.41,0,1.32,6.44,1.96,0
