stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,gut,immune,iridophores,mesenchyme,neural,paraxial_mesoderm,periderm,slow_muscle,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,10.14,5.97,0,0,0,0
 14-21,0,0.99,0,0,0,0,0,0,0.97,0,0,26.11,0,0,0
 24-34,0,0,1.11,0,0,0,0.88,0,0,4,0,51.55,1.16,0,0
 36-46,0,0,0,0,1.15,0,0,0,0,1.56,0,76.27,0,0,0
 48-58,0,0,0,0,0,0,1.13,0,0.44,1.37,0,40.08,0,0,0
 60-70,0.66,0,0,2.9,0,0,2.84,0,0.88,0,0,24.16,0,0,1.24
 72-82,2.47,0,0.62,0,0,0,3.4,0,1.17,3.59,0,18.86,0,0.56,0
 84-94,0,0,0,0,0,0,7.95,0.61,0,0.92,0,29.71,0,0,0
 96-106,0.88,3.17,0.65,0,0,1.31,3.57,0,2.92,1.46,0,45.98,0,0,0
108-118,1.46,0,6.73,0,0,3.71,3.14,0,0.99,1.77,0,21.11,0,0.52,0
120,4.29,0,0,0,0,0,12.39,0,0,0,0,11.87,0,0,0
