stage,blastomeres,eye,hatching_gland,neural,paraxial_mesoderm,spinal_cord
  3-4,13.86,0,0,0,0,0
  7-9,0,0,4.43,0,7.16,0
 10-12,0,3.23,0,5.63,0,0
 14-21,0,0,0,0,0,1.66
 48-58,0,0.43,0,0.65,0,0
