stage,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,xanthophores
  7-9,10.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0
 14-21,0,0,1.9,0,0,0,0,0,0,0,5.1,0,0,0,0,0,1.36,0,0,0
 24-34,0,0.83,7.49,0,0,0,0,0,0,0,33.36,0,0,0,0,0,3.82,0,0,0
 36-46,0,0,7.29,0,0,3.32,0,0,0,0,33.16,0,0,1.06,0,0.82,2.86,0,0,0
 48-58,0,0,12.27,0,0,13.82,0,0.51,1.58,0,58.54,0,0.64,0,0,0.37,14.65,0,0.52,0
 60-70,0,0,30.58,0,0,8.09,0,0.78,2.04,0,67.95,10.7,0,1.03,0,0,12.35,0,0,0
 72-82,0,1.89,23.74,0,0,5.43,0,0,2.45,0,65.8,0,0.74,0.83,0,0,3.33,0.51,0,6.91
 84-94,0,1.36,13.64,0.6,0.67,8.34,0.61,0,0.67,1.13,34.61,0,0,0.7,0,0.61,2.14,0,0,2.81
 96-106,0,3.48,9.56,0,0,2.05,0,0.89,1.49,0,18.7,0,0.59,0,0,0,0,0,0,7.75
108-118,0,3.06,25.96,0,0,2.19,0,1.47,0.5,0.47,33.93,0,0.43,4.08,0,0.92,0,1.22,0,0
120,0,0,12.08,0,0,6.06,0,0,0,0,71.61,0,0,0,0,0,0,0,0,0
