stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0,0,0,0,8.95,0,6.84,0,0,0,0,0
 14-21,0,2.3,0,5.11,0,0,0,0,0,1.78,0,0,0,1.76,0.86,0,0,0,0,0.86,0,0,0,0,2.69,12.18,0.89,0,2.81,0,3.8
 24-34,0,0,0.81,1.29,14.52,0,0,0,0,0,0,0.76,0,4.23,3.23,0,0,14.08,0,0,0,0,0,0,0,11.5,0.97,0,34.01,0,20.69
 36-46,0,0,0,0,0,2.4,0,0,0,2.21,0,0.94,0,18.76,6.69,0,2.76,7.15,0,0,0,0.82,0,0,0,1.51,0,0,24.39,0,39.6
 48-58,0,0,0,0,2.22,4.96,0,0,0,4.98,0,0.45,0,18.02,8.43,0,2.65,15.84,0,0,0,0,0,0,0,0,0,0,22.87,0,35.61
 60-70,0,0,2.29,0,5,4.83,0.84,0,0,4.03,0.6,0,0,2.52,25.79,0,2.42,3.53,0,0,0,2.93,0,1.72,0,0,4.03,0,23.45,0,24.27
 72-82,0,0,1.46,0,0,0,0,0,2.8,8.36,0.73,2.45,0,7.73,53.41,0.72,0.5,13.98,0,0,0,0,0,0.97,0,0,0.84,0.5,74.4,0,42.08
 84-94,0,0,0.56,3.82,3.33,0.98,0,0,0,6.3,1.41,3.19,0.73,9.18,41.5,5.11,2.43,25.84,0,0,2.3,0.91,0,0,0,0,0,5.47,92.2,0.89,12.03
 96-106,0,0,0,0,2.23,0.64,3.38,6.53,0,5.86,2.8,1.34,0,0.69,55.15,1.1,7.37,1.69,2.33,0,0,0,3.82,0,0,0,0,0,81.75,5.42,18.98
108-118,0,0,0,0.52,0.51,3.57,0,1.59,0,8.74,1.49,2.16,0,5.8,54.61,0,6.05,18,0,0,2.86,0,0,1.91,0,0,0,0,57.41,0,9.89
120,0,0,1.43,0,1.45,6.84,0,3.91,0,4.32,16.21,0,0,4.55,42.91,0,6.7,0,1.28,0,0,0,0,0,0,0,0,2.68,42.33,0,9.6
