stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0.84,1.02,5.93,0,0,0,0
 24-34,0,0,0,0.63,0,0,0.72,0,0,0,0,0,0,0,10.69,0,0,0.85,272.14,0,9.95,0.88,1.91,0,48.24,0,0.7,0,0
 36-46,0,0,0,18.25,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1023.61,0,10.65,0,1.23,0,127.1,0,0,0,0
 48-58,0,5.13,0,118.36,0,0.76,4.25,0,0,0,0,0.38,0,0,5.31,0,0.91,2.59,1637.65,0,15.17,0.7,4.93,0,206.34,0,0,0,0.42
 60-70,0,0,4.47,327.22,7.17,0,9.82,0,0.95,0,1.68,0,0,6.73,10.3,0,6.11,0,2082.03,0,12.05,0,8.08,0,191.71,0,0,0,0
 72-82,1.56,7.11,2.83,358.51,0,0.96,11.15,0,1.84,0,0,0,0,0,32.1,1.2,3.23,0.7,1611.11,1.8,8.38,0,0.49,0,170.31,0,3.33,0,4.23
 84-94,2.56,3.16,1.48,194.84,0,0,22.95,2.65,0,5.01,0.58,0,0,0,19.63,0,0,0,861.84,0,20.83,2.15,0.98,0,55.36,0,0,0,0
 96-106,0,3.5,4.79,121.72,0,0.74,2.4,0,0,0,0,0,0,0,20.14,0,0,0,653.45,0,7.67,0,1.77,0,29.61,0,1.5,0,0
108-118,3.56,3.72,0,126.29,0,1.81,23.78,0.95,0,0,1.01,0,5.31,0,9.13,0,0,0,864.17,0,6.16,0,0,0,34.47,2.1,0,0,0
120,0,10.81,0,219.55,0,12.74,54.11,0,0,6.6,1.25,12.97,0,0,16.12,0,0,0,2121.42,0,21.51,5.36,0,0,57.66,0,0,4.16,0
