stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,84.83,1408.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488.28,0,0,0,0,0,0,0,0,0,0
  5-6,75.9,688.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.13,0,0,0,0,580.49,0,0,0,0,0,0,0,0,0,0
  7-9,11.02,0,0,4.89,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,179.41,16.03,0,0,47.6,403.82,12.81,0,0,0,0,0,0,0,0,0
 10-12,0,20.93,0,26.26,0,0,7.55,0,0,0,0,0,0,0,0,0,0,0,0,254.94,12.94,0,0,15.87,191.14,0,0,13,0,0,0,0,0,0,0
 14-21,0,0,0,3.23,14.08,0,0,0,0,0,4.7,0,1.78,0,0,0,5.32,0,1.93,30.72,14.42,0,0,0,1149.62,0,3.77,2.57,1.06,1.67,0,0,0,0,0
 24-34,0,0,0,0,12.55,2.17,0.64,0,0,0,0,1.56,1.73,9.21,3.08,9.57,9.36,1.66,3.91,75.61,0,0,1.49,0,1635.59,0,0,0,0,19.44,0,0,1.55,0,0.72
 36-46,0,0,0,0,4.56,0,6.13,5.55,0.6,2.3,0,0,0.71,0,0,10.14,12.2,0,0.76,67.85,0,1.01,0,0,2067.82,0,0,1.01,0,10.76,0,0,1.42,0,0
 48-58,0,0,0,0,11.89,0,21.06,10.54,1.67,5.63,0.88,1.37,0.38,0,0,3.9,3.96,0,1.53,60,0,0.47,0.38,0,1113.88,0,0,0,0,9.05,0,0.84,0,0,0
 60-70,0,0,0,0,17,0,4.74,8.54,0,1.48,5.87,0,0.58,0,0,2.5,2.78,0,0,24.48,0,0,0,0,700.96,0,0,1.88,0,2.79,1.44,0,0,0,0
 72-82,0,0,0.98,0,24.85,0,7.52,3.73,0,0,10.02,0,1.02,0,0,0.98,2.06,0,0.69,10.76,0,0,0.56,0,364.45,0,0,0,0,0,4.6,0,0,0,0
 84-94,0,0,0.66,0,83.01,0,6.47,16.07,0,0,14.42,0,10.45,0,0,5.4,8.56,0,2.73,28.99,0,0,0.56,0,1209.34,0,0,0,0,0,0.6,0,0,0,6.17
 96-106,0,0,2.45,0,96.1,0,16.65,10.45,0,1.27,6.97,1.73,8.49,0,0.6,5.12,8.65,0,0,46.17,0.75,0.75,1.11,0,844.99,0,0,0.7,0,0,1.66,0,0,3.34,0
108-118,0,0,0,0,119.84,0.95,17.01,15.83,0,5.39,11.88,2.97,7.72,0.91,3.44,6.05,13.15,0,0.5,41.23,0.41,0,0,0,746.86,0,0,0,0,0,0.44,0,0,0,0
120,0,0,0,0,123.4,0,0,11.09,0,0,4.07,0,6.68,0,0,0,10.22,0,0,47.37,0,0,0,0,507.35,0,0,0,0,0,6.22,1.95,0,1.05,0
