stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,9.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.49,21.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,35.44,0,0,4.87,0,0,5.74,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.95,0,0,0,0,0,53.31,0,0,10.24,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.98,0,0,0,0,0,0,3.29,0,0,22.29,0,0,0.87,0,0,0,1.46,7.3,0,0,0
 24-34,0,0,0,0,0,0.78,0,0,0,0,2.89,0,0,39.34,0.77,0,0,0,0,0,0,12.37,4.17,0,0
 36-46,0,0,0,1.07,1.48,0.6,0,0,0,0,1.89,0,0.58,155.28,0.72,0,0,0,0,0,0,24.65,0,0,0
 48-58,0,0,0,0,6.81,0.43,3.12,0,0,0,4.61,0,0.37,168.13,0,0,0,0,0,0,0,36.11,0,0,0
 60-70,0,0,0.57,0,33.8,0,3.22,0,0,0,6.6,0.93,0,384.29,2.08,0,0,0,0,0,0,63.72,0,0,0
 72-82,0,0,0,0,23.58,0.89,5.62,0,1.02,0,13.81,0,1.26,300.99,0.53,0,0,0.71,0,0,0,50.65,0,1.87,0
 84-94,0,0,0,6.24,36.68,0,2.94,0,0,0.89,8.91,0,0,208.46,1.89,1.54,0,0,0,0,0,40.17,0,1.21,0
 96-106,0,0,0,3.56,40.22,0,11.04,0,0,0,5.53,0.98,0,167.21,4.59,1.4,0,0,3.61,0,0,14.58,0,0,4.26
108-118,0,0,0,1.45,18.38,0,16.06,0,0,0.44,11.49,1.04,0.43,271.99,0,11.55,0,0,0,0,0,14.24,0.59,0,2.67
120,0,0,0,0,45.76,0,4.45,0,0,0,28.02,0,0,458.06,0,1.47,0,0,0,0,0,10.12,3.67,0,0
