stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,154.49,7337.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.94,0,0,0,0,0,0,0,0,0,0
  5-6,455.23,4627.76,13.1,0,0,0,0,0,0,0,0,71.44,0,0,0,0,0,0,0,0,0,0,301.19,94.16,0,0,103.47,95.44,0,0,0,0,0,0,0,0,0,0
  7-9,140.93,66.43,176.06,0,0,0,228.17,0,0,0,0,123.48,0,0,0,0,0,0,0,0,0,0,1866.69,96.41,0,0,952.05,3.78,18.58,0,0,0,0,0,0,0,0,0
 10-12,0,42.88,128.66,0,21.45,0,191.49,0,0,0,0,31.15,0,0,0,0,0,0,0,0,0,0,1776.98,40.87,0,0,672.59,0,18.05,0,103.1,0,0,3.51,0,0,0,0
 14-21,0,0,0,33.62,4.43,0,23.02,0,0,6.13,0,0,0,0,0.83,0,0,6.99,0,21.92,0,14.81,402.09,0,3.03,2.82,11.14,10.27,0,53.98,2.18,7.94,17.95,116.41,0,0,1.08,0
 24-34,0,0,0.64,9.59,3.07,0,105.16,2.86,0,10.26,0,0,1.13,2.94,0,0.77,0.86,0,10.43,59.25,0,19.99,991.14,1.33,7.31,5.31,0,13.59,0,0,0,0,2.41,205.98,0,0,12.72,5.65
 36-46,0,0,0,39.07,0,0,286.75,0,0,15.5,0,0,0,10.36,0,0,0,1.43,0,63.29,2.68,13.52,658.7,0,1.35,1.97,0,9.3,0.91,0,1.02,0,0,130.58,0,0,1.78,1.65
 48-58,0,0,0,11.83,2.25,0,393.56,0.37,0.43,13.46,0.41,0,1.23,0.95,0,2.03,5.52,1.34,0.78,53.13,3.48,8.99,311.44,6.44,2.8,2.25,0,1.83,0,0,0,0,0,52.75,0,0,1.96,3.16
 60-70,0,0,0,5.13,0,0,222.49,0,0,34.28,0.9,0,0,0.76,0,0.72,0,0,0,57.59,0.93,10.04,203.41,0,0,1.67,0,3.62,0,0,0,0,0,3.98,0,1,1,0
 72-82,0,0,0,4.3,0,0,85.36,0,0,14.42,3.1,0,0,2.18,2.33,1.81,0,0,0,35.62,3.96,4.37,91.4,0,1.28,0.53,0,0.7,0,0,0,0,0,2.54,0,0,0.64,0
 84-94,0,0,0,5.65,3.44,0,79.63,0,0,16.37,5.34,0,0,2.44,0,1.29,0,0,0,29.75,2.17,4.08,76.45,0,0,1.48,0,1.28,0,0,0,0,0,2.59,0.55,0,8.28,0
 96-106,0,0,0,1.68,2.03,1.14,62,0,0,8.76,0.67,0,0,0,0,1.43,0,0,0,22.27,0.98,0.7,53.69,0.67,0,3.42,0,0.64,0.7,0,0,0,0,0,0,0,4.82,0
108-118,0,0,0,3.13,0.59,0,55.38,0,0,10.06,0.48,0,0,3.06,1.71,0.44,0,0,0.46,9.32,0,1.84,93.21,0,0.81,0.43,0,0,0,0,0.96,0,0,2.68,0,0,0.92,0
120,0,0,0,1.31,2.93,0,49.47,0,0,15,0,0,0,5.01,0,0,0,0,0,19.87,2.08,4.6,96.03,0,0,0,0,1.36,0,0,0,0,0,10.07,0,0,0,0
