stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,0,0,0,0,0,0,0
  5-6,26.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0,0
  7-9,0,0,3.58,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,35.11,0,5.82,0,0,0,0,0,0,0,0,0
 10-12,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.77,10.02,15.8,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.82,36.81,0,0,0,0,0,0,7.17,18.18,0,0,12.34,0,3.14,7.13,8.28,0,0,0,0,0,0,0,1.63,0,0
 24-34,0,0,0,1.15,23.92,0.99,0,1.37,0,0.68,0,8.2,22.82,0,0,10.69,0,4.73,6.27,3.18,0,0,0,0,6.3,0,0,18.64,0,0
 36-46,0,0,0,0,0,0,0,1.19,0,0,0,5.78,8.91,0,0,11.21,2.52,0,28.95,0,0,0,0,0,0,0,0,7.48,0,0
 48-58,0,0,0,4.27,0.39,1.51,0,3.49,1.3,0,0,5.28,6.86,0.39,0,4.87,0.84,0.5,4.99,0,0,0,0,0.65,3.77,0,0,14.59,0,4.69
 60-70,0,0,0,0,0,4.55,0,0,2.81,0,0,0.92,17.64,0,0,4.77,0,0,16.61,0,0,1.08,0,0,0.82,0,0,16.5,0,0
 72-82,0,0,0,0,4.75,0.96,0,0,8.97,0,0,1.08,50.56,0,0,9.36,5.61,0.57,15.77,0,0,1.2,0,0,0,0,1.01,15.84,0,0
 84-94,0,0,0,1.5,1.29,1.11,0,0,0,0,1.45,0.7,52.19,0.65,0,4.68,1.37,0,0,0,0,1.56,0,0,3.4,0,1.13,19.49,0,0
 96-106,0,0,0,0,0.76,10.7,0.71,0,2.09,0,0,3.31,64.67,0,2.63,2.18,0.78,0,6.98,0,0,2.59,0,0,1.39,1.59,0,31.62,2.17,0
108-118,0,0,0,1.08,1.73,0,0,0,0.88,1.3,0,3.75,99.53,1.13,0,3,2.46,0,12.81,0,0,6.2,0,0,0,0,0,21.42,0,0
120,0,8.41,0,0,1.16,3.02,0,2.04,1.98,17.24,0,0,124.69,0,0,31.65,11,0,0,0,0,0,0,0,0,0,1.95,19.74,0,0
