stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,21.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.35,0,0,0,0,0,0,0,0
  5-6,92.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.28,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4,0,0,0,10.47,51.35,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.61,0,0,0,0,29.76,0,0,0,0,0,0,0,0
 14-21,0,0.91,15.82,0,5.14,0,0,0,1.6,0,0,0,0,0,0,0,0,0,8.24,2.33,0,0,0,0.83,151.75,2.51,0,12.13,7.91,0,0,0,0
 24-34,0,0,3.6,0,3.35,0,1.7,0,3.01,0,0,0.86,0,0,0,3.21,0,0,1.34,27.04,1.71,0,0,0,238.18,0,0,3.61,9.62,0,0,0.95,0
 36-46,0,0,0,0,0.68,0,14.69,0,0.72,0,0,0,1.67,0,0,1.97,3.23,0,2.58,10.62,0,2.11,0,0,360.83,0,0,0,5.49,0,0,0.73,0
 48-58,0,0,5.34,0,8.27,0,1.35,0,1.37,0,0,0.75,1.6,0,0,0.59,0,0,0,11.9,0.4,0.48,0,0,189.77,0,0,0,3.45,0,0,0.42,0
 60-70,0,0,13.76,0,3.99,0,2.69,0,1.86,0,0.9,0.58,17.49,0,0,7.08,0.79,0,0,20.71,0,0,3.17,0,251.14,0,0,0,2.53,0,0,0,6.06
 72-82,0,0,15.86,0,6.33,0,1.48,0,0,0,1.99,5.44,42.06,0,1.36,3.16,0.79,0,0,22.38,0,0,0,0,135.41,0,0,0,5.73,1.21,0,0,1.88
 84-94,0,0,32.07,2.4,6.75,0,8.61,0,4.49,0,0,2.6,51.47,0,0,5.86,0.91,2.07,0,8.52,0,5.45,0,0,462.66,0,1.94,0,3.34,0,1.99,0,6.47
 96-106,0,0,36.61,0,22.96,0,13.03,8.86,1.95,2.64,8.1,7.59,39,0.74,0.7,2.34,5.51,0.59,0,28.55,0,3.81,0,0,667.41,0,0,0,5.16,0,0,0,5.6
108-118,0,0,57.59,5.29,11,0.46,16.06,3.48,10.34,1.49,8.45,7.21,73.47,0.43,0,9.01,5.88,0,0.66,29.28,0,0,1.6,0,639.05,0,0,0,2.07,0,0,2.09,22.69
120,0,0,24.99,0,16.79,0,18.88,0,0,5.71,16.29,1.89,12.34,2.26,0,0,0,0,0,24.98,0,3.8,0,0,269.72,0,1.13,0,0,0,0,1.54,0
