stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.67,0,0,0,0,0,0,0,0,0
 14-21,0,0.99,0,0,0,0,0,0,0,0,0,130.78,0,0,66.17,23.67,0,0,0,0,1.29,0,0,0,0
 24-34,0,0.65,1.81,0.61,0,0,0,1.58,0,0,0.82,258.45,0,0,6.78,49.42,0,2.91,0,0,8.63,0,0,0,0
 36-46,0,2.45,0,0,41.57,3.71,0,0.93,0,0,0,240.25,0,7.3,8.26,49.93,0,0,0,0,10.64,0,0,0,0
 48-58,0,1.27,0,7.11,51.33,0,8.66,1.13,0,0,0,264.91,0.9,8.55,10.56,52.93,0,0.4,0.82,0,3.99,0,0.91,0,0
 60-70,0,4.09,0,0,57.08,0,5.7,4.94,0.77,0,0,409.71,0,8.57,11.36,54.43,0,1.81,0,0,0,0,10.93,6.42,0
 72-82,0,4.52,0,31.38,33.57,24.74,1.4,0,0,0,0,282.79,0,25.38,3.84,33.62,0,21.64,0,0,0,0,19.37,1.01,1.87
 84-94,0,1.22,0,18.7,19.65,8.48,3.51,0,0,1.76,0.73,176.81,0,12.36,0.81,10.6,0.92,3.97,1.88,0,0,0.55,13.43,4.94,7.76
 96-106,0,6.22,0,6.86,15.28,22.82,0,0,0,0,0,198.12,0,27.35,5.38,2.66,0,37.3,0,0,0,0,9.77,5.26,1.48
108-118,0,2.08,0,7.48,14.14,36.86,0,0,0,0,0,159.92,0,20.1,2.51,10.44,0,48.44,0,0.46,0,0,10.04,0.51,0
120,0,1.81,0,13.22,11.43,48.68,0,0,0,0,0,182.31,0,19.3,12.6,32.1,0,15.1,0,0,0,0,0,0,0
