stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.51,167.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.13,17.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.17,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.71,0,0,4.95,0,4.54,0,0,0,0,0,16.57,0,0,0,0,0,0,0,0,0,0,0,35.34,11.09,0,0,39.32,0,4.49,5.62,0,0,0,0,5.88,0,0,0,0
 14-21,0,0,0,11.27,3.37,0,5.86,0,0,0,1.28,0,2.01,0,0,0,0,0,1.02,0,1.9,0,0,0.85,26.5,6.16,0,0,0,0,3.97,1.58,2.36,0,1.34,8.34,14.27,0,0,0,0
 24-34,0,0,0,23.27,0,0,21.86,0,2.45,1.23,0,0.67,0,0.95,3.12,3.73,0,0,2.27,0,8.02,1.48,0,1.65,156.13,8.18,0,2.03,0,0,3.87,0,0,1.94,1.34,2.02,53.81,0,1.54,0,0
 36-46,0,0,0,14.07,0,0,31.67,0,0,0.67,3.78,0,0,0.73,0.58,0,0,0,0,0,10.25,0,0,0,341.98,11.73,1.63,0,0,0,1.51,0.81,0,2.05,0,0,65.48,0,6.08,0,2.41
 48-58,0,0,0,6.92,0,0,128.68,0,0.79,1.76,23.7,0,0,0,0.38,0,0,0.37,0,0.48,28.29,0,0,6.21,579.84,23.88,0,0,0,0,0.82,0,0,0.39,4.53,0,101.32,0,2.59,0,9.28
 60-70,0,0,0,10.24,0,0,270.17,3.61,0,0,25.9,0,0,0,5.52,0,0,0,1.32,0,16.24,0.62,0,2.02,916.02,31.86,0,1.01,0,0,13.51,0,0,0,0,0,134.8,0,0,0,0
 72-82,0,0,0.71,13.27,0,0,405.35,0,0.57,0.6,29.64,0.97,0,0,5.48,0,1.46,0,2.65,0,58.53,1.8,2.2,4.99,1229.1,1.77,1.98,0.5,0,2.26,5.87,0,0,0,0,0,118.04,5.41,6.54,0,0
 84-94,0,0,0,19.65,1.44,1.17,509.19,0,2.11,3.02,35.29,4.53,0,0,3.84,0,0,1.2,4.99,6.84,30.16,3.43,0,2.78,727.49,8.4,2.33,0.79,0,0,4.1,0,0,0.81,1.18,0,87.63,1.21,5.63,0,1.69
 96-106,0,0,0,14.52,7.75,0,442.14,0,0,0,50.41,3.32,0,0,4.01,1.04,0,0,16.01,0,70.93,0,0,3.06,656.07,13.29,4.29,4.11,0,1.17,16.24,0,0,1.91,0,0,39.5,6.31,8.92,3.8,11.44
108-118,0,0,0,21.45,7.11,7.2,553.66,0,0.52,1.57,41.4,5.92,0,0,4.81,0,9.93,0.49,12.56,2.01,59.6,0,5.94,2.91,996.7,8.49,2.54,2.94,0,0,12.8,0,0,2.07,0,0,45.62,0,8.2,3.23,5.59
120,0,0,0,19.72,14.65,0,319.41,13.62,0,0,28.26,1.67,0,0,14.18,0,0,0,9.39,1.51,60.19,0,0,5.82,1047.43,12.9,17.06,1.74,0,8.63,9.11,0,0,0,0,0,63.94,0,8.31,0,0
