stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.46,0,0,7.64,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,15.68,1.13,0,0,0,0,0
 24-34,4.67,0,0,0,0,0,0,0,0,0.62,0.93,0,0,0,0.68,0,0,11.72,0,0,0,132.13,0,0,0,0,0,0
 36-46,0.73,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,37.46,0,0,0,89,0,2.54,0,0,7.97,0
 48-58,1.2,0,0.87,0,0,0,1.51,0,0.75,0,0.49,0,0,6.39,0.66,0,0,4.36,0,0,0,81.19,0,4.55,0,0,0,0
 60-70,3.43,0,0,0,0.96,0,1.27,0,0,0,3.94,0,0,0,3.11,0,0,18.33,0,0,0,119.22,0,0,2.13,0,0,0
 72-82,11.37,0.71,4.42,0.59,7.41,0.88,2.23,0,0,0,0,0,0,0,1.08,0.56,0,28.97,0,0,0,126.18,0,3.86,0,1.7,0,0
 84-94,10.48,0,0.9,0,4.94,0,0,0,0,0,1.46,0,0,0,1.44,0,0,6.42,0,0,0,253.78,0,0,0,0,0,0
 96-106,13.38,0,18.28,0,6.39,0,1.97,0.61,0,0,1.89,0.63,0,0,3.09,4.38,0.84,11.63,0,0,0,206.72,0,0,0,0,0,0
108-118,29.93,0,4.91,0,1.51,0,2.67,0.58,0,0,1.91,0,0.45,0,1.36,0,0,8.86,1.09,0,0,129.69,0,0,0.86,0,0,0.49
120,28.88,0,0,0,8.2,0,0,1.26,0,0,2.72,0,0,0,0,1.31,0,8.75,0,3.34,0,121.68,0,0,1.06,0,0,0
