stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.72,0,0,0,6.8,3.76,0,0,0,0,0,0,0
 10-12,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71,0,0,0,0,11.66,0,0,0,0,0,0,0
 14-21,0,1.74,0,0.91,0,0,0,0,0,0,2.15,0,0,0,0,1.49,0,0,4.32,1.03,0,0,0,90.77,0.97,0,0,0,2.64,0,0
 24-34,0,8.33,0,0,3.1,0,0,0,0.92,0,5.82,0,0,0,0,1.3,0,0,12.51,0.66,0,3.1,0,260.78,0,1.65,0,0,0.96,0,0
 36-46,0,18.69,0,0.65,13.89,0,2.26,0,0,0,11.08,0,0,0,1.2,9.22,0,0,11.03,0,1.73,0,0,636.87,0,2.13,0,0,0,0,0
 48-58,0,21.97,0,5.26,12.45,0.93,0,0,0,0,3.65,0,0,0,2.79,14.45,0,0.37,12.15,0.91,0,0,0,745.15,0,4.66,0,0,0,0,3.29
 60-70,0,39.92,0,9.95,33.98,3.57,0.81,1.71,0,0.83,10.25,0,0,0,1.63,3.04,0,0,13.31,0,1.78,0,0,1144.09,0,2.26,0,0,0,0,0
 72-82,0,42.96,0.86,1.75,32.39,0,1.41,0,0,0.59,10.38,0,0,0.49,3.83,18.62,0,0,32.06,0,1.59,0,0,1233.26,0,1.67,0,0,5.6,0,0
 84-94,0,87.96,0,1.58,34.5,0,0,0,0,1.34,18.65,0,0,0,1.1,20.03,0,0,2.98,0,2.14,0,0,1920.42,0,0.77,0.58,0,0,0,0
 96-106,0,130.98,17.24,23.5,89.99,3.49,6.9,0,0,5.92,53.95,0,0,0,2.1,39.19,1.67,0.9,48.02,0,0.95,0,0,3536.33,0,6.77,1.52,0.92,0,3.34,3.88
108-118,0,122.8,0,10.59,77.47,5.28,10.07,0,1.76,8.41,29.83,0,3.18,1.75,4.85,29.48,0,0.68,46.7,0,2.47,0,0,2245.61,0,1.13,0.68,0,5.46,2.86,0
120,0,165.22,0,1.51,93.68,0,1.12,0,0,7.86,32.51,1.84,0,0,3.53,31.89,10.91,0,26.12,0,4.88,0,0,1574.86,0,0,6.52,0,8.33,0,0
