stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,liver,melanocytes,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature
  3-4,73.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,263.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.38,0,0,0,0,0,0,0,0,0,54.82,0,0,4.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,4.55,0,0,9.55,0,0,0
 14-21,0,0,0,0,0,0,1.07,0,0,0,1.39,1.4,0,0,0,0,1.26,0,1.85,0,0
 48-58,0,0,0,25.42,0,0,0,0,0,0,0.78,0.61,0.65,0,0,0,0,0,0,0,0
 60-70,0,0,0,92.19,0.65,2.3,2.28,0,0,6.05,0,4.58,2.44,0,0,5.02,0,0,0,0.84,0
 72-82,0,0,0,134.29,0,0,0,0,0,0,1.05,5.29,0,0,0,0,0,0,0,16.85,1.56
 84-94,0,0,0,372.95,0,0,2.22,0.82,1.66,0,1.4,3.13,0,0,0,5.07,0,0,0,39.3,0
 96-106,0,0,1.67,379.31,0.96,5.37,0.8,0,0,0,7.2,14.11,1.59,0.98,0,2.5,0,0,0,47.97,6.22
108-118,0,0,5.64,576.38,0,8.78,5.43,0.95,0.63,0,3.34,18.31,2.23,0,0,0.47,0,0,0,59.31,0
120,0,0,0,177.85,0,0,0,0,0,0,0,8.37,0,0,0,2.24,0,0,0,46.62,0
