stage,erythrocytes,eye,glial,immune,iridophores,mesenchyme,muscle,neural,periderm,somites,spinal_cord
 10-12,0,0,0,0,0,0,0,8.49,0,0,0
 14-21,0,0,0,0,0,0,0,7.72,0,1.97,1.92
 24-34,0,1.33,0,0,0,0,0,1.47,1.62,0,0
 36-46,0,0,0,0,0,0,0,6.21,0,0,1.17
 48-58,0,0.99,0,2.66,0,0,0,5.48,0,0,1.59
 60-70,0,0.88,1.87,0,0,1.74,0,1.2,0,0,0
 72-82,2.18,0,0,0,0,3.84,0,3.25,0,0,0
 84-94,0,0,2.85,0,0.58,0.82,0,0,0,0,0
 96-106,0.69,0,0,0,0,0,0,0,0,0,0
108-118,0,0.97,0.72,0,0,0,0.49,0.96,0,0,0
120,0,0,0,0,0,0,2.56,1.4,0,0,0
