stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,14.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0,0,22.15,0,0,0,0,0
 14-21,0,0,126.5,0,0,0,3.68,0,0,0,0,0.93,0,0,1.22,4.21,0,0,0,0,0,2.64,0,0
 24-34,0,0,117.13,1.21,1.3,0,1.39,0,0,0,0,47.92,1.24,24.96,24.53,1.4,0,0,0,0,0,2.05,0,0
 36-46,0,0,43.93,1.28,3.56,0,1.67,0,1.49,0,0,90.1,0,17.54,13.14,0.65,2.82,0,0,0,0,0.78,1.27,0
 48-58,0,0,23.88,6.08,5.17,1.12,0.62,0,0,0,0,66.38,0,8.06,2.88,0,0,0,0,0.97,0,0.43,0.79,0.42
 60-70,0,0,17.9,1.66,1.18,0,0,0,0,0,0,64.42,0,7.01,7.49,1.81,0.9,2.66,0,0,1.67,0,0,6.17
 72-82,0,0,9.37,1.39,0,1.38,0,0,0,0.95,0,75.62,0,4.64,8.96,0,0,0.67,0,0,0,0,0,0
 84-94,0,0,56.43,4.57,4.19,0,0,0,1.02,0,0,91.82,0.57,9.16,10.63,1.38,0.57,1.18,0,4.54,0,0,0,0
 96-106,0,0,52.29,4,3.38,5.79,2.7,0,0,0,0.62,75.15,0,4.03,15.18,0.58,1.53,0.87,0,5.14,0,0,1.3,0
108-118,0,0,63.27,8.44,14,2.79,0.88,0.51,1.09,1.36,0,80.14,1.41,3.5,7.28,1.56,1.05,0,0,12.21,0.9,0,0,0
120,0,0,96.07,9.14,2.38,0,0,0,0,2.39,0,161.15,3.01,1.9,6.37,0,0,0,0,9.78,0,0,0,8.45
