stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,102.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0,0,0
  5-6,10.99,175.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.38,0,0,0,0,34.83,0,0,0,0,0,4.33,0,0,0,0,0,0,0,115.55,0,0,0,64.44,0,4.34,0,0,0,0,0,0,0,0
 10-12,0,4.22,7.99,0,0,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,153.21,0,0,0,36.49,0,0,0,9.41,0,0,0,0,0,0
 14-21,0,0,0,1.07,0.99,4.43,0,0,0,0.88,0,0,0,0,0,0,3.33,0,3.2,36.92,1.89,0,0,0.85,0,0,3.65,0,4.84,20.3,0,0,1.8,0
 24-34,0,0,0,0,0,14.83,0,0,0,2.55,0,0,1.13,0,0,0,7.18,0,1.99,103.02,0,0.77,3.89,0,0,2.86,0,0,1.74,17.88,0,0,45.61,0
 36-46,0,0,0,0,7.25,10.63,0,0,0.63,0.91,0,0,0,0,0,0,8.13,0,0,60.88,0,0,0,0,0,0,0,0,0,8.05,0,0,5.22,0
 48-58,0,0,0,2.1,0,13.09,0,0,0,5.98,0.58,0,0,0,0,0,8.9,0.37,1.89,48.83,0,0.43,0,0,0,0,0,0,0,18.38,0,0,4.84,0
 60-70,0,0,0,0,0,19.76,1.17,0,0,6,0,0,0,8.77,0,0,12.14,0,0,41.87,0,0,0,0,0,0,0,0,0,10.18,0,4.5,0,0
 72-82,0,0,0,0.53,0,16.2,0,0,0,2.49,0,0,0.84,3.35,0,0,18.55,0,0,53.89,0,0,0,0,1.77,0,0,0,0,4.28,0,0,5.15,0
 84-94,0,0,0,0,0,6.68,0,2.16,0,1.05,0,0,0,7.84,2.07,0,10.41,0,1.36,37.63,0,0,0,0,0,2.52,0,0,0,1.14,0.61,0,6.15,2.42
 96-106,0,0,0,0.67,0,6.86,0,0,0,2.9,0,0,0,7.25,0,0,19.88,0,0,15.44,0,2.65,0.93,0,0,0,0,0,0,0,0,0,6.27,0
108-118,0,0,0,0,0,2.45,0,0,0,5.5,0,0,0,4.41,0,2.88,0,0,0,13.03,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0
120,0,0,0,0,4.16,13.38,0,0,0,25.01,0,0,0,6.82,0,0,9.56,0,0,2.89,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0
