stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,3.67,0,0,0,0,0,0,0.92,0,0,0,0,0.81,0,0,0,0,3.73,0,0,0,44.57,0,0,1.09,0,0,0,5.01,0,0,1.81,20.37,0,0,2.06,0,0
 24-34,0,1.34,0.63,0.95,0,13.34,0,0,0,37.21,1.66,0,0,0,1.91,0,0,0,0,7.12,0,0,0.98,610.77,1.13,0.63,0,0,1.43,0,0,0,0,0.68,117.74,0,0,1.69,0,0
 36-46,0,0,1.99,0,0,42.15,0,0,0,406.57,0,0,0.9,0,0,3.63,0,0,0,5.71,1.68,0,0,2253.7,0,0,0.59,0,5.95,1.76,0,0,0,0,346.56,0,0,2.82,0,7.38
 48-58,0,0,16.77,7.31,0,228.82,0,0.41,0,1121.81,0,0,0,2.78,0,0.4,0,0,9.55,37.72,0,0,6.61,4068.33,7.14,5.31,4.26,0,14.42,0,0,0,0,0,745.51,0,0.89,1.14,0,24.97
 60-70,0,0,29.4,4.76,0,344.54,0,1.26,2.77,1826.29,0.57,0.98,0,12.87,0,5.28,0,0,9.95,115.24,0.65,0,4.42,7552.26,0.75,0,7.73,0.63,7.95,0,0,0,1.48,0,1034.2,0,0,9.04,0,14.38
 72-82,3.01,0,31.21,4.61,0,619.95,0.6,0.5,11.23,2296.77,0.65,0,2.5,1.59,0.66,3.32,0.92,0,0,141.6,0,3.55,4.6,6127.82,0.73,0.74,5.97,2.26,5.54,0,0,0,0,0,738.62,3.48,4.02,27.9,2.05,25.78
 84-94,0,0,36.34,6.22,3.8,468.82,0.56,5.63,0,1536.47,0.91,0,2.1,0,0,7.27,0,12.22,9.88,106.14,0,2.12,4.64,3444.1,1.48,2.7,14.65,4.73,6.57,0,0,1.07,0.64,0,594.79,4.88,0.71,13.49,6.47,7.65
 96-106,0,0,44.73,15.22,9.83,366.77,3.52,4.21,0.82,1431.33,3.85,0,6,3.11,0,1.36,1.17,0,0,127.06,1.75,0,7.83,2866.52,1.91,0,10.34,1.51,25.5,0,0,0.68,0,0,261.78,7.68,4.67,20.08,1.36,4.4
108-118,0,0,47.05,0.89,1.04,246.4,0.99,2.35,3.65,1654.44,3.99,0,0,3.1,2.29,10.97,4.79,2.24,0,160.32,0,3.69,1.18,3585.88,7.65,4.06,25.07,0.86,3.07,0,0,0.51,0,0,192.85,0.85,1.57,25,0.61,6.45
120,0,0,37.75,17.6,1.8,339.36,0,6.27,3.09,2332.88,2.43,0,6.84,5.07,10.19,0,0,8.28,0,145.22,0,0,6.38,6010.95,16.85,2.34,43.09,0,3.84,0,0,15.37,0,0,209.57,0,6.76,8.74,0,2.33
