stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,4.67,0,0,13.42,0,0,0,12.78,0,0,0,0,0,0,0,0,2.03,0,0,7.27,375.19,2.89,0,0.9,0,0,1.07,0,199.57,0,0,0,0,0
 24-34,0.84,4.75,0,10.27,0,0,0,28.74,0,0,0,0,0,0,0,0.64,0.95,0,0,0.66,1083.49,0,3.16,0,0,0,0,2.14,285.31,0,0,7.85,0,0
 36-46,0.98,0,0,47.89,0,0,0,150.96,0,0,0,0,0,0,3.26,0,1.15,0.72,0,0,1564.05,0.57,7.94,1.22,0,19.9,0,0,486.94,0,0,0.56,0,0
 48-58,0,7.8,0,166.11,0,0,0.39,231.55,0,0,0,0,1.49,0,6.39,1.7,8.58,0,0,0.37,1484.28,0.38,2.22,0,0,0,0,0,438.89,0,0,0,0,0.66
 60-70,0,8.53,0.81,544.95,0,0,0,229.42,0,0,0,0,0,0,4.39,0,12.28,0,1.72,0.73,1578.17,0,0,0.77,0,0.97,0,0,306.22,0,0.71,10,0,0.91
 72-82,1.82,7.06,0,663.21,0,0,0,220.47,1.04,0.68,0,0.53,0,0,0,0,9.36,0,0,0.55,1186.42,0,4.91,0,0,0.6,0,0,121.01,3.98,0,1.89,0,7.32
 84-94,0,5.97,1.51,414.99,0,0,8.21,149.91,0,0,0.93,0,0,0.69,0,0,12.25,0,1.14,3.28,780.91,0,2.81,0,0,3.84,0,0,85.97,0.9,0,0.95,1.13,0
 96-106,0,1.69,5.95,374.93,0,0.61,0,110.52,2.6,0,0,0,0,0,0,0,6.43,0,0,1.33,550.72,0,1.78,0,0.97,0.93,0,0,33.01,0,0,0,0,0.85
108-118,0.92,7.64,0.69,348.34,1.3,0,0,112.22,0,0,0,0,0,0,0,0,6.19,0,0,0,672.7,0,3.2,1.33,0,0.9,0,0,20.84,0,0,0,0,0
120,2.94,0,0,346.1,1.99,14.64,0,318.64,1.61,0,0,0,0,0,0,0,7.64,0,0,0,1406.89,0,14.95,0,0,0,0,0,49.77,0,0,7.52,0,0
