stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,301.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.71,0,0,0,0,0,0
  5-6,7.16,120.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.61,0,0,0,4.99,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,11.51,0,0,0,0,0,3.88,0,0,0,0,0,0,16.79,4.42,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,0,1.03,0,0,0,0,0,0,0,0,0,7.45,0,0,16.87,0,0,0.81,0,0,0,1.8,0,4.26,7.91,0,0
 24-34,0,0,1.86,0,0,0,1.17,0,3.73,0,0,0,0,0,7.04,0,0,31.01,0,2.68,0,0,0,0,0,0,0,10.04,1.36,0
 36-46,0,0,0,0,1.16,0,0,0,2.22,0,0,0,0,0.62,24.13,0,2.69,58.95,0,1.09,0,0,0,0,0,0,0,12.32,0,0
 48-58,0,0,0,0,7.48,0,0,0,12.1,0,0,0,0,0,155.46,0,0.49,81.28,6.25,0.73,0,0,0,0,0,0,0,4.9,0,0
 60-70,0,0,0,0,16.44,0,0,1.24,9.45,0,0,0,0,0,237.4,0,2.35,80.2,0,0,0,0,0,0,0,0,0,4.06,0.72,0
 72-82,0,0,4.84,0,68.93,2.46,0,0,0,0,0,0,3.91,0,462.88,1.23,0,68.65,0,0,0,0,0,2.39,0,0,0,9.33,1.4,0.96
 84-94,0,0,3.17,1.03,6.58,0,0,0.74,1.55,1.76,0,0,0,1.03,688.32,0,1.63,33.57,0,0,0.88,0,0,0,0,0,0,3.95,1.03,0
 96-106,0,0,6.93,0,35.57,0,0,0,4.01,0,0,2.2,0,0,493.04,0,0,45.7,0,0,0,0,2.4,1.9,0,0.62,0,0,14.81,4.49
108-118,0,0,0,0,11.07,0,1.11,3.49,5.16,0,0,0,0,0,443.88,0,0.55,29.75,0,0,4.53,0,0,0,0,0,0,0,0,0
120,0,0,0,0,7.03,0,0,1.44,15.43,0,0,0,0,0,530.55,0,0,76.2,0,0,0,0,19.05,4.19,0,0,0,0,0,0
