stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste
  5-6,7.18,49.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.71,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,8.78,0,0,0,0,0
 10-12,0,0,0,20.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,9.94,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,3.71,0,0,0,0.93,0,12.46,0,0,0,0,0,0
 24-34,0,0,0,0,3.08,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0.83,27.78,0,71.65,0,0,0,0,1.08,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,81.95,0,48.61,0,0.72,0,0,1.43,0
 48-58,0,0,0,0,0.43,0,2.48,0,0,0,0,0,0,0,10.94,0,0.54,0.46,0,77.89,0.86,42.76,0,1.24,0.74,0.93,2.12,0
 60-70,0,0,0,0,0,0,10.31,0,0,0,0.87,0,0,0,20.72,0,0,0.85,0,27.31,6.22,80.17,0,0,0,0,1.71,0
 72-82,0,0,0,0,0.65,0,13.99,0,0,0,1.36,0,0,0,96.24,0,0,0,0,47.29,0,182.56,0,2.19,0,0,3.81,0
 84-94,0,0,0,0,0,0,7.86,0,1.69,0,0,0.75,0,0,80.9,0.83,0,0,0,51.55,1.84,266.66,0,2.97,0,0,2.69,0.74
 96-106,0,0,0,0,0.96,4.17,10.51,0,0,1.66,1.29,0.59,1.5,0,176.89,3.93,5.46,1.22,0,36.05,0,302.48,0,3.26,0,0,0,2.7
108-118,0,0,1.18,0,1.74,0,6.82,0.76,0.44,0,1.48,2.4,0.67,3.66,101.41,0.73,5.18,0,0,25.33,0.81,273.63,0,5.48,0.87,0,0,5
120,0,0,0,0,6.25,0,9.81,0,0,0,0,0,0,0,91.67,0,0,0,0,115.85,0,414.1,0,0,0,0,0,0
