stage,eye,heart,mesenchyme,neural,vasculature
 14-21,0,0,0,0,1.21
 24-34,0,0,0,0.6,10
 36-46,1,0,0,0.82,18.7
 48-58,1.22,1.25,0.38,1.73,9.04
 60-70,3.19,0,0,0,0.72
 72-82,0,0.56,0,0,23.94
 84-94,0,0,0,0,10.21
 96-106,0.65,0,0,0,6.96
108-118,0,0,0,0,17.08
120,0,0,0,0,13.1
