stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,47.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.49,0,0,0,15.02,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,22.21,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,109.56,0,0,0,26.79,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8.47,25.3,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,72.66,2.38,0,3.33,0,0,1.98,0,1.02,111.89,0,0,0,0,0
 24-34,0,0,0,14.8,0,19.52,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,1.25,818.39,0,0,0.66,0,0,3.8,0.88,0,321.28,0,0,1.5,0,0
 36-46,0,0,0,2.46,0,35.5,0,9.17,0,7.18,0,0,0,0,0,0,0,0,0,5.47,0,0,0,2390.84,0,1.29,0,0,0,1.31,0,0,577.87,0,0,0,0,0
 48-58,0,0,0,10.98,0,205.29,0,0,0.43,26.1,0,0,0,0.7,0,0,0,0,2.25,23.86,0,0.49,4.03,5424.26,0,1.51,7.57,0,0,3.41,0,0,1036.98,0,0,2.69,0,8.66
 60-70,0,0,0,14.05,0,403.94,0,5.31,4.97,51.29,0,0,2.89,0,1.08,12.46,0,0,0,21.98,0.63,0,0.67,7361.96,0,0.72,0,0,0,1.34,1.35,0,1229.04,0,0.8,7.94,0,7.86
 72-82,0,2.85,0,14.01,8.49,842.67,0,0,0,150.96,3.43,0,6.83,4.84,0,8.35,2.09,0,0,79.45,0,1.15,5.29,10342.77,0,1.63,3.39,0,1.4,15.12,0,0,998.34,10.41,0.49,7.38,0,9.22
 84-94,0,1.71,0,28.12,2.04,677.69,2.54,0.75,2.12,87.88,3.38,0,2.58,0.64,0,0.83,0,0,0,74.96,0,3.37,6.05,6143.41,0,5.65,3.89,0,4.36,4.86,0,0,575.58,7.94,1.48,8.38,6.1,0.8
 96-106,0,2.74,0,30.97,4.47,623.46,0.79,0,25.04,180.57,1.56,0,5.67,3.44,0,2.11,0,10.71,0,75.62,1.17,1.29,5.1,5687.98,0.58,0.57,0.95,0,3.21,22.15,0,0,333.1,11.76,1.58,5.54,2.48,8.82
108-118,0,3.54,0,39.18,3.54,423.88,2.15,3.43,0.5,206.58,0.8,0,1.7,0,0,7.91,0,0,0.78,56.08,0,10.65,6.18,6250.08,0,3.6,3.88,0,2.26,1.98,0,0,228.01,20.91,1.51,9.63,0,0
120,0,0,0,40.25,1.39,530.75,0,6.64,0,131.75,2.51,0,7.84,4.1,2.65,0,0,0,0,66.57,0,15.43,2.95,6461.5,2.43,10,18.23,0,0,1.03,2.43,0,343.65,3.67,1.54,7.76,0,4.96
