stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,96.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,145.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.01,0,11.45,0,0,7.58,0,0,0,0,0,0,0,0
 10-12,0,0,10.83,0,5.18,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.79,0,25.04,0,0,6.41,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.09,1.07,0,0,0,0,10.23,0,0.86,0,0,0,0,30.23,0,3.25,57.39,0,0,0,0,0,2.56,0,0,23.48,0,0,0,0
 24-34,0,0.84,0,0,0.81,2.13,0,0,1.68,0,3.8,0.64,0,2.9,0,0,0,29.2,0,0,257.16,0,0,0.99,0,0,0,0,0.62,45.39,0,4.51,0,0
 36-46,0,0,0,0,0,8.06,0,0,0.63,0,0,0,0,2.93,0,0,0,50.6,0,0.84,458.83,0,0,0,0,0,0,0,0,50.93,0,9.39,0,0
 48-58,0,0,0,0.53,0,69.39,0,0.97,2.76,0,0.42,0,0,3.37,0.42,0,0,21.85,0.58,0.48,447,0.52,0,0,0,0,0,0,0,62.42,0,4.2,0,0
 60-70,0,0,0,0,0,209.98,1.83,0,10.76,0,0,0,0,20.04,0,0,2.53,30.14,3.19,0,772.05,0.95,0,1.19,3.23,0,0,0,0,81.68,0,2.76,0,0
 72-82,0,0.69,0,3.99,1.7,260.67,0,0,4.83,1.38,0,0.62,0,16.21,2.78,1.36,0,21.55,2.89,0,466.58,2.03,0,1.41,0,0,0,0,0,31.66,0,11.36,0,6
 84-94,0,0,0,0.66,0,164.75,0,0,2.6,0,0,3.68,0,14.62,3.15,0,0,33.36,5.78,1.02,371.66,0.79,0,6.07,0.59,0,0,0,0,35.29,4.56,14.72,0.89,0
 96-106,0,0,0,0,3.18,120.62,0,0,2.43,3.1,0,5.57,0,6.16,0,0,0,46.13,3.53,0,196.17,0.7,0,1.67,0,0,0,0,0,4.75,6.04,1.89,0,2.2
108-118,0,0,0,3.79,2.82,101.98,0,0,3.65,1.08,0,5.04,0,11.8,0,0,0,26.21,0,1.95,242.41,1.01,0,3.93,3.31,0,0,0,0,7.59,0.82,9.26,0,0
120,0,0,0,0,0,62.93,0,0,22.04,3.85,0,0,0,9.28,6.36,0,0,40.56,0,0,372.16,0,0,4.59,0,0,0,10.96,0,1.95,0,4.54,0,3.58
