stage,blastomeres,epidermis,eye,lateral_line,mesenchyme,neural,periderm,spinal_cord
  5-6,9.89,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,7.42,1.1
 24-34,0,0,0,0,0,4.45,16.24,0
 36-46,0,2.32,0.76,0,0,1.88,98.35,0.98
 48-58,0,8.23,0,0,1.07,0,32.1,1.17
 60-70,0,4.59,0,0,7.05,0,14.6,0
 72-82,0,0,0,0,1.85,0,3.39,0
 84-94,0,5.61,2.68,0,0,4.61,1.97,0
 96-106,0,0.58,0,0,0,0,1.65,0
108-118,0,0,0,1.24,0,0,4.09,0
