stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,visceral_smooth_muscle
  3-4,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.45,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,13.95,0,0,0,0,0,0,0
 14-21,0,3.39,1.07,0,0,0,0,0,0,0,3.42,0,1.92,3.14,0,3.14,2.22,0
 24-34,0,2.55,0,0.65,0.7,0,0,0,0,0,118.03,1.34,4.75,0,1.92,0,6.97,0
 36-46,0,4.89,0,5.27,0,0,0,0.56,0,0,271.31,2.58,7.9,0,8.56,0,36.72,0
 48-58,0,0.55,0,47.87,0,17.06,0.56,0,0,3.79,323.53,7.66,2.77,0,13.21,0,45.75,0
 60-70,0,9.41,0,122.37,0,19.85,0,0,0,4.45,679.1,8.14,2.01,0,11.74,0,72.55,0
 72-82,0,2.3,0,80.53,0,1.87,0,0,0,0,349.46,2.34,1.82,0,6.9,0,70.39,0.56
 84-94,0,0,0,39.01,0,2.14,1.51,0,0,1.2,166.76,4.09,0,0,0,0,13.88,0
 96-106,0,0,0,60.47,0,1.32,1.11,0,0.63,0,123.47,0,0.72,0,0,0,2.7,0
108-118,0,1.55,0,22.86,0,1.86,0,0,0,0,119.94,2.19,0,0,1.85,0,3.4,0
120,0,0,0,58.92,0,8.51,0,0,0,5.01,389.44,0,0,0,0,0,0,0
