stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,16.1,188.12,0,60.06,0,0,0,8339.38,0,0,0,0,98.11,0,0,0,0,0,0,0,0,0,0,3547.5,21.41,0,0,175.74,0,0,5.42,0,0,0,0,0,0,0,0,0,0
 10-12,0,249.48,0,25.03,0,0,0,7604.45,0,0,0,0,17.96,0,0,0,0,0,15.95,0,0,0,0,8438.33,23.66,0,0,223.45,0,12.16,0,0,4.64,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,71.4,9.53,0,778.52,0,0,6,0,0,1.36,0,1.89,0,0,0,0,21.19,0,4.9,7817.27,4.84,48.64,14.21,0,0,0,0,9.74,1.69,0,6.3,104.04,0,0,0,0,0
 24-34,0.88,0.83,0,0,25.39,0,0,471.95,0.75,0,51.34,0,1.82,0,0,0,1.17,0,0,6.43,10.55,0,13.78,5679.88,0.83,16.04,0,0,0,8,0,0,0,0,0,105.61,0,0,13.22,0,0
 36-46,0,0,0,0,13.39,1.28,0,192.17,0,0,121.44,0,0,2.37,0,0,0,0,0,0,10.23,0,0,3245.5,0,1.73,0.63,0,0,14.96,0,0,0,5.98,0,47.73,0,0,0,0,1.22
 48-58,0,0,0,0,11.56,0,0,1922.61,3.3,0,109.67,0,0,0,0,0,0,0,0,0.38,13.53,0,3.84,2353.42,0,1.21,0.45,0,0.59,2.1,0,0,0,5.37,0,40.81,0,0,2.26,0,4.25
 60-70,0,0,0,0,8,2.41,0,7719.71,10.79,0,265.28,0,0,0,7.09,6.34,0,0,0,0,10.13,10.58,0,1325.25,0,0.58,0.76,0,0,0.86,0,0,0,0,0,30.3,0,0.71,2.41,0,0
 72-82,0,0,1.04,0,63.48,0.59,0,11595.14,5.04,5.65,388.08,0.8,0,0,2.95,0,0,0,4.65,0.64,57.34,1.92,2.09,1268.39,0,3.08,2.07,0,0,0,0,0,0,0,0,19.67,0,0.75,12.3,2.9,11.2
 84-94,0,0,0,0,64.08,12.99,0,6900.79,5.99,3.34,394.74,2.54,0,0,1.22,0,0,0.97,0.96,0,74.41,2.29,15.63,1112.35,0,0,0,0,0,2.05,0,0,0,0,0,49.03,3.4,5.19,1.56,12.15,5.51
 96-106,0,0,0,0,39.65,0.79,2.47,7999.14,1.15,0,350.34,1.47,0,9.53,0.57,1.98,0.81,0,3.8,0,37.5,0.93,2.28,752.08,0,0.57,2.01,0,0,10.11,0,0,0.64,0.82,0,12.21,1.77,0.56,8.48,3.79,3.52
108-118,0,0,0,0,35.61,8.99,0.5,5586.45,4.29,0,351.29,2.71,0,0,0.45,0.85,0,0,0,0,18.32,17.29,0.55,866.55,0,1.88,2.83,0,0,4.07,0,0,14.81,0,0,4.36,8.06,0,0,3.34,0
120,0,0,0,0,43.14,0,0,2707.62,1.78,0,427.44,0,0,0,0,2.65,0,0,3.61,0,13.61,0,0,976.75,0,4.33,0,0,0,1.15,0,0,1.38,0,0,8.64,0,0,0,1.96,9.68
