stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,spinal_cord
  3-4,11.28,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,63.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.8,3.78,0,0,0,10.04,0,0,0,0,11.17,0,0,0,0,107.27,0,14.22,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.36,0,9.96,0,12.37,0,0,0
 14-21,0,0,1.04,66.72,2.61,1.27,0,0,0.99,1,1.76,0,45.8,0,7.29,26.43,0,1.02,0.97,0,0.9,0,3.6
 24-34,0,0,0,10.24,0,1.32,1,0,0,0,0,0,25.74,0,3.83,35.97,0,0,0,0,0,1.54,0.88
 36-46,0,0,0,0,0,1.34,0,0,0,0,0,0,12.86,3.05,2.26,19.02,0,0,0,0,0,0,2.02
 48-58,0,0,0,0,0,0.75,0,0,0.95,0,0,0,8.06,0.4,0,6.8,0,0,0,0,0,0.4,0.37
 60-70,0,0,0,0,0,5,0,0,0,0,0,0,0.9,0.63,0,1.82,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.69,0,0,0,0,1.69,6.32,0,3.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.5,0,0,0,0,0,9.73,0,1.32,1.51,6.79,0,0,0,0,0,0,0
 96-106,0,0,0,0,6.32,5.07,0,0,0,0,0,0,0,0,0,2.06,1.74,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.13,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0
