stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,0,90.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,137.35,0,0,0,0,0,0,0,0,0,0,0,0,0,40.05,0,0,0,23.05,0,0,0,0,0
  7-9,17.67,0,13.14,0,0,4.61,0,0,41.1,0,0,0,0,0,0,26.19,22.1,0,0,119.37,0,0,0,0,0
 10-12,0,0,15.51,0,0,0,0,0,0,0,0,0,0,0,0,24.47,0,0,0,88.17,0,0,0,0,0
 14-21,0,1.36,0,1.08,0,0,1.08,0,0,0,0,0,0,0,1.45,3.8,0.92,0,0,0,0,0,4.91,0.91,0.88
 24-34,0,0,0,0,0,0,0,0.71,0,0,0,0,1.14,0,0,16.46,0,0,0,0,3.82,0,0,0,1.03
 36-46,0,0,0,0,0,1.36,0,0,0,0,0,0,0.58,0,0,5.16,0,0,0,0,0,0,0,0,1.86
 48-58,0,0,0,0,0,1.97,2.49,0,0,0,0,0,1.82,0.58,0,22.7,7.32,0,0,0,0,0,0,0,3.26
 60-70,0,0,0,0,0,5.61,3.46,0,0,0,0,6.02,0,0,0,23.09,0,0,0,0,0,0,0,0,1.74
 72-82,0,0,0,0,1.53,1.47,0,0,0,0,0,4.27,0,0,0,6.68,0,1.82,0,0,0,0,0,0,2.36
 84-94,0,0,0,0,0,0,0,0,0,0.67,0,0,6.11,1.07,0,7.41,0,0,0.88,0,0,9.51,0,0,0
 96-106,0,0,0,1.26,0,2.11,2.22,0,0,0,0.63,0,8,0,0,0.74,0,0.59,0,0,0,0,0,0,2
108-118,0,0,0,0,0,0.81,0.64,0,0,0,0,0,0.76,0,0,10.98,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,8.57,0,0,0,0,0,0,0,0,11.63,0,0,3.28,0,0,0,0,0,0
