stage,eye,glial,mesenchyme,neural,olfactory,spinal_cord
 14-21,0,0,0,2.7,0,0
 24-34,0,0,0.73,4.63,0,0
 36-46,0,1.08,0,12.67,0,0.69
 48-58,4.28,0,0,4.99,0.41,0
 60-70,0.66,0,0,12.22,0,8.3
 72-82,0,1.68,0.52,21.16,0,0
 84-94,7.14,0,2.04,9.52,0,0
 96-106,1.48,0.8,0,5.22,0,2.71
108-118,0,0,0.69,16.82,0,0
120,0,0,0,23.2,0,0
