stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.47,3,0,1.84,0,0,0,2.11,0,0,0,0,0,0,0,3.34,0,0,0,13.42,0,0,0,0,3.15,0.94,1.96,0.89,7.62,0,0
 24-34,0,0,1.52,0,0,0,1.39,0,0,0,1.45,0,0,0,1.21,0,0,0,2.28,0,0,0,66.32,0,4.2,0.61,0,1.62,0,3.55,0.69,8.49,0,2.3
 36-46,0,0,0,0,0,0,0.67,0,0,0,1.14,0.66,0.63,0,8.79,0,0.77,0,1.32,0,0,0.95,51.77,0.57,0,0,0,0,0,2.7,0,6.29,0,0
 48-58,0,0,0,0,0,0,5.74,0,0,0,4.15,0,0,0,0,0,0,0,3.86,0,0,0,53.77,0,0,0,0,0.49,0,3.35,0,8.3,0,2.22
 60-70,0,0,0,2.75,0,0,10.93,0,0,0,3.58,0.85,0,0,0,0,0,0,1.41,0,0,0,34.38,0,2.53,4.18,0,19.14,0,0.62,0,3.73,0,0
 72-82,0,0,0,0.59,5.22,0,12.99,0,0,0,7.21,0,0,1.75,0,3.95,0,0,9.46,0,0,2.29,34.79,0,5.89,0,0,8.17,0,1.53,0,3.66,0,0
 84-94,0,0,0,2.76,0,0,11.56,0,0,0,0,0,0,0,0,0,0,0,2.59,0,0,0,28.12,0,1.88,0,0,2.95,0,0.67,0,7.48,0,10.01
 96-106,0,0,0,1.24,0,0,3.15,0,0,1.01,11.15,0.77,0,0,0,0,0,0,2.16,0,0,1.04,13.21,0,3.82,5.28,0,5.47,0,1.16,0,0.87,0,0
108-118,0,0,0,2.05,1.91,0.65,6.69,1.18,0,0,4.26,0.64,0,0,0,2.78,0,3.18,0.44,0,8.09,0,37.54,0,3.64,1.91,0,5.2,0,2.46,0,4.72,0.83,0
120,0,3.73,0,3.63,0,0,35.04,0,6.38,0,5.88,0,0,0,0,4.22,0,0,22.21,1.65,0,0,40.77,0,4.31,0,0,4.34,0,2.89,0,8.83,0,0
