stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,94.12,1552.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.99,0,0,0,0,0,0,0,0,0,0,0
  5-6,107.77,2179.59,0,0,0,0,0,0,0,0,0,0,0,41.43,0,0,0,0,0,0,0,0,0,0,0,114.18,11.17,0,0,36.53,25.99,0,0,0,0,0,0,0,0,0,0,0
  7-9,29.28,14.39,0,18.05,0,0,0,30.63,0,0,0,0,0,17.27,0,0,0,0,0,0,0,0,0,0,0,442.16,43.72,0,0,137.69,0,27.12,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.5,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,172.63,14.11,0,0,18.05,0,8.7,0,0,0,5.26,0,0,0,0,0,0
 14-21,0,0,0,0,1044.31,1.01,0,0.9,0,19.49,0,0,0.98,0,0,61.7,3.98,0,0,0,0,2.74,3.9,0,1.37,27.26,6.04,0,0,0,9.15,3.12,2.93,0,1.32,1.11,7.18,0,0,0.99,0,0
 24-34,0,0,0,0,2404.85,1.39,0,3.8,0,187.03,0,1.48,1.08,0,0,266.39,0,0,0.63,0,0.78,9.01,30,0,3.18,127.61,7.85,4.73,0,0,5.09,0.98,0,1.4,1.75,1.35,16.91,0,0,6.28,0,1.93
 36-46,0,0,0,0,1961.09,0,0,13.54,0,330.13,0.65,2.29,1.62,0,0,368.97,0,0,5.02,0,0,10.97,21.93,0.72,0.71,137.96,1.19,6.95,5.12,0,17.45,3.31,0,2.91,0,0,31.5,0,0,2.42,0,0
 48-58,0,0,0,0,1615,4.62,0,55.28,0,464,0,13.2,0.87,0,0,335.37,0,0,0,0,0,15.66,8.1,0,1.71,121.18,0,6.11,0,0,4.1,0.65,0,3.14,0,0,26.87,0,0,5.41,0,2.58
 60-70,0,0,0.86,0,1453.51,0,0,61.67,0,491.88,4.35,3.65,0.63,0,0.71,421.14,2.14,0,1.94,15.15,0,17.68,13.94,0,0.88,55.74,0,2.14,0,0,7.1,0.64,0,3.11,0,0,12.25,0,0,5.35,1.27,0
 72-82,0,0,0.56,0,1255.49,5.61,0,45.25,0,336.37,0.64,2.75,5.75,0,0.89,413.28,4.86,0,4.99,7.06,0,36.4,14.72,2.68,0.49,88.33,0,3.64,0,0,16.02,1.41,0,3.42,0,0,6.8,0,0.91,11.07,0,4.87
 84-94,0,0,0,0.61,2395.98,1.85,0,58.52,0,628.24,3.42,11.83,7.52,0,0,529.95,3.3,0,1.39,0,0,42.12,21.76,1.34,0,66.22,0,2.95,2.32,0,7.06,0,0,7.66,0,0,11.63,2.65,3.55,16.02,2.31,0
 96-106,0,0,0,1.08,2105.54,51.67,1.95,51.83,0,485.18,3.32,13.05,13.05,0,0,548.12,7.33,1.78,2.22,0,0,56.33,25.68,12.06,0,102.67,0,16.29,0,0,10.97,0.85,0,5.91,0,0,3.91,2.09,0,28.7,3.53,0
108-118,0,0,0,1.94,2075.88,15.44,0,46.2,0.77,569.33,2.1,1.23,21.71,0,0.99,493.04,2.95,1.25,1.77,2.4,0,20.33,12.05,0,0.48,68.68,0,7.7,0.47,0,7.16,1.27,0,8.61,0,0,1.25,3.67,4.18,16.32,2.99,0.84
120,0,0,0,0,1149.52,21.58,1.71,35.72,0,339.94,0,1.87,12.42,0,0,702.31,4.15,0,8.14,5.65,0,28.63,13.77,0,3.92,84.05,0,3.22,0,0,1.68,0,0,9.92,0,0,0,0,0,17.82,1.93,0
