stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,24.19,847.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7,0,0,0,0,0,0
  5-6,27.96,156.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,9.43,0,0,0,0,0,0,0
  7-9,3.97,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,32.73,0,0,0,0,3.26,0,0,0,0,0,0
 10-12,0,0,0,31.72,0,0,0,13.7,0,0,0,29.91,0,0,0,0,0,0,0,0,0,89.09,8.57,0,0,0,3.81,15.38,0,0,0,0,0
 14-21,0,0,2.11,0,5.58,1.98,0,0,0,0,0.82,0,0,1.78,0,0,0,0,0,0,0,9.47,1.58,1.74,0,0,0.8,42.86,2.31,3.19,1.69,0,0
 24-34,0,0,5.82,2.41,3.06,0,0,2.32,0,0,2.8,0.67,0,9.99,0,5.75,1.49,0,0,7.78,0,25.65,0,6.33,4.11,0,6.55,41.28,1.01,0.69,1.8,0,0.68
 36-46,0,0,1.73,1.46,2.38,0,0,14.14,2.25,0.71,1.17,0,0,4.28,1.36,5.79,0,1.14,1.25,5.92,0,86.07,0,15.82,0,0,8.66,20.48,0,0,1.47,0,0
 48-58,0,0,0.88,0,11.05,0,0,15.38,0,1.08,5.29,2.26,0.52,4.54,2.3,0.94,2.87,4.85,0,3.08,0,16.21,0,3.38,0.69,0,5.94,13.15,0,0,0.4,0,0.55
 60-70,0,0,11.7,0,5.9,0,0,34,0,5.58,2.5,2.2,0,3.03,0,5.15,1.68,10.96,0,9.47,0,37.13,0,5.99,0,0,1.61,5.91,0,0,0,0,0
 72-82,0,0,5.72,0,0.5,0,0.9,10.91,0,18.71,10.66,2.12,0,4.71,0,10.29,0.54,0.64,0,12.87,0.86,24.43,0,8.41,2.24,0,5.63,2.49,0,0,0,6.08,1.58
 84-94,0,0,23.97,0,5.59,0,0,28.95,0.94,0,14.49,4.11,0,13.34,0,15.61,2.26,3.6,2.84,16.64,0,16.7,0,6.62,0.73,0,17.97,9.34,0,0,5.48,17.48,0
 96-106,0,0,9.71,2.06,8.43,3.71,0.8,7.37,0,7.93,19.39,1.32,0,12.69,0,7.89,8.12,3.42,3.58,14.84,0,32.24,0,14.24,1.38,0,19.52,6.35,0,0,4.16,16.65,5.08
108-118,0,0,5.05,0,18,0,0.74,14.36,1.42,15.88,35.5,0,0,19.31,0,11.02,1.98,7.66,4.13,23.85,0,32.97,0,2.41,0,0,9.84,4.79,0,0,0,21.82,2.45
120,0,0,9.53,0,36.98,0,4,43.31,0,45.64,35.75,0,0,16.52,0,15.96,8.87,1.61,0,13.46,0,49.6,0,14.89,0,0,7.72,4.94,0,0,0,10.92,5.84
