stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,gut,hatching_gland,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,11.43,38.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.32,137.92,0,0,0,0,0,0,0,0,0,0,21.79,0,0,0,0,0
  7-9,0,6.2,8.33,0,4.49,0,0,0,3.83,0,0,0,99.32,0,35.21,0,0,0
 10-12,0,13.9,8.87,0,8.04,0,0,0,0,0,0,0,137.19,0,28.17,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.72,0,1.83,1.44,0,0,0,0,0.66
 36-46,0,0,0,0,0.62,0,0,0,0,0,0,0,1.07,0,0,0,0,0
 48-58,0,0,0,2.64,0,0,0,0,0,0,0.47,0,0.71,10.14,0,0,1.02,0
 60-70,0,0,0,0,4.01,1.28,0,0,0,0,0.63,0,5.96,0,0,0,0,0
 72-82,0,0,0,2.48,2.67,0,0,0.55,0,0.61,0.84,0,0,1.58,0,0,0,0
 84-94,0,0,0,0,2.09,0,1.93,0,0,0,0,0,0,0,0,0.76,0,0
108-118,0,0,0,0,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,3.77,0,0,0,0,0,0,0
