stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.45,58.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,93.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.68,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,53.6,5.4,0,0,28.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.4,4.96,0,0,4.05,0,0,0,0,31.35,0,0,0,0,0,0,0,0,0,88.41,0,0,0,38.28,0,0,12.76,0,0,0,0,0,0,0
 14-21,0,0,0,7.34,0.83,0,0,0,0,0,0,0,0,0,0,0,5.44,0,0,0,13.15,0,0,0,0,0,0,0,3.8,9.44,0,0,0,0,0
 24-34,0,0,1.34,1.89,0,6.18,0,0,0.64,0,0,0,0,0,0,0,2.18,0,0,2.02,33.47,0.95,0,0,0,0,3.26,0,0,8.2,0,0,2.56,0,0
 36-46,0,0,0,0.55,0,3.29,0,1.6,1.06,0.57,0,0,0,0,0,0,3.25,0,0,5.37,19.68,0,0,1.41,0,0,0,0,0,10.15,0,0,0,0,0
 48-58,0,0,0,4.03,0,12.6,0,0,1.62,0.51,0,0,0,0,0,0,6.56,0,0,1.51,10.9,0,1.03,0,0,0.56,3.87,0,0,5.52,0,0,1.78,0,1.32
 60-70,0,0,0,1.56,0,2.42,0,0,0.76,0,0,0,0,0,0,0,23.39,0,0,0.92,23.99,0,0,0,0,0,0,0,0,4.69,0,0,0,0,0
 72-82,0,0,0,0,4,4.34,0,0.51,2.53,0,0,0,0,0,0,0.72,10.26,0,4.11,0,10.11,0,0,0,0,0,0,0,0,1.37,0,0,3.12,0,0
 84-94,0,0,0,0,6.1,7.47,1.55,1.43,0.79,0.68,0,0,3.66,0,0,0,3.56,0.58,2.82,0.96,11.77,0,0,0,0,0,3.06,0.74,0,2.58,0,5.14,3.16,0,0
 96-106,0,0,0,0.96,5.45,9.59,0.82,0,2.2,0,0,0,2.53,0,0,0,9.26,0,0,4.15,7.37,0,0.6,0,0,0,4.75,0,0,0,0,0.77,0,0,0
108-118,0,0,0,1.03,1.34,6.6,0,0,2.73,0,0,0,0,0.86,0,1.6,17.65,0,0,0,15.6,0.55,3.38,0.51,0,1.83,1.87,0.52,0,0,0,0,5.6,0.69,0.51
120,0,0,0,1.53,6.39,0,0,0,0,0,0,1.85,6.75,2.13,11.11,0,17.09,0,0,7.31,12.37,0,2.88,0,0,0,0,0,0,0,11.17,0,0,0,0
