stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,19.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,11.56,0,0,0,0,0,0,0,0,0,0,0,7.75,10.25,0,0,32.68,0,0,0,0,26.96,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.85,0,0,0.83,0,30.06,7.33,4.23,0,0,0,9.96,0,155.26,1218.88,5.89,0,0,0,0
 24-34,0,3.12,0,1.41,4.47,1.85,0.7,0,0,0,51.57,0,122.34,92.53,0,0,0,0,0,1.46,41.94,671.05,16.76,0,0,0,0
 36-46,0,0,0,1.71,35.98,8.32,0.75,0,0,0,95.97,0,84.56,47.78,0,0,14.18,2.62,0,0,39.08,40.05,4.22,0,0,0,0
 48-58,0,0.57,0,1.64,14.84,1.27,0.98,0,0,0,54.32,0,119.01,58.58,0,6.68,0,0,0,0,24.1,0,0.67,0,0.42,0,0
 60-70,0,0,0.99,9.14,41.07,5.94,1.32,0,0.9,0,117.97,0,139.38,36.84,0,0,0.81,0,1.38,0.76,10.49,0,8.98,0,0,0,0
 72-82,0,2.05,0,2.63,24.5,2.37,5.38,0,1.31,6.91,155.4,0,126.98,39.42,0,0,0,0,0,0,5.74,0,1.34,0,0,0,0
 84-94,0,2.21,0,16.53,15.04,0,2.98,0,0.88,0,111.42,0,128.49,42.54,0,1.19,0,0,0,1.77,9.41,0,5.2,0,1.08,0,7.59
 96-106,0,0.66,1.67,23.28,12.96,6.38,0,0,0,0,104.32,0,121.88,26.81,0,3.59,0,3.94,0,0.75,5.82,0,0,1.26,1.05,0.93,0
108-118,0,2.11,0,39.83,17.32,0,8.54,0,0,1.34,125.77,2.54,141.34,36.89,0,0,0,0,0,0.42,5.53,0,0,0,0,0,0
120,0,9.17,0,45.19,38.24,1.04,0,0,3.84,0,125.93,0,154.48,77.34,0,0,19.84,0,1.12,0,3.7,0,0,0,0,0,0
