stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.89,0,0,0,0,0,0,0,0,7.44,0,0,0,0,0,0,0,0,0,0,0,11.04,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,26.79,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93,0,0,0,0,0
 24-34,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,6.4,0,0,0,0,0,3.44,0,0,0,0,0
 36-46,0,0,2.87,0,0,1.76,0,1.58,0,0,0,0,0,0,0,0,4.1,0,1.12,0,0,20.77,0,0,0,0,0,1.44,0,0,0,0,6.46
 48-58,0,0,9.21,0,0.48,1.91,0,5.01,0,0,0,0,0,0,0,0,9.46,12.86,0,0,6.36,49.42,0,0,0,0,0.89,3.75,0,0,0,0,0.92
 60-70,0,0,21.89,0,0.89,1.55,3.17,5.19,0,0,6.7,0,0,0,0,0,9.6,23.04,0,0,7.12,64.08,0,0,0,3.18,0,1.09,0,1.31,1.51,0,28.32
 72-82,0,0,17.36,0,11.89,10.31,0,1.6,0,0,0,0.55,0,0,0,0,8.38,34.46,0.73,0,0,104.57,1.31,0,0,0,0.82,2.96,0,0,17.92,0,9.12
 84-94,0,0,48.43,2.39,32.25,4.71,0.77,3.51,0,0,0,0,0,0,0,0,8.56,10.91,0,2.81,1.65,70.78,0,0,1.73,1.11,0,0,0,0,0,0,6.52
 96-106,0,0,42.34,6.8,4.35,1.45,2.84,14.49,0,0,0,0,2.81,0,0,10.62,11.07,18.58,0.87,2.54,0,86.93,0,0.95,1.14,0.69,0,0.67,0.71,0,45.76,0,4.47
108-118,0,0,31.32,0,9.11,0.45,0.6,0,0.49,0,0,0.98,1.22,2.06,0.76,4.32,11.26,22.41,0,0,0,81.79,0,3.13,1.57,0,0,1.9,0,0.63,21.48,0.62,16.45
120,0,0,56.01,0,7.01,0,1.92,0,0,0,0,0,0,0,1.34,0,1.96,3.39,0,0,0,212.29,0,0,0,0,0,0,0,0,0,54.94,13.83
