stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,gut,immune,mesenchyme,mucous,muscle,neural,olfactory,periderm,pgc,spinal_cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,17.02,0,0,0,0
  7-9,5.34,7.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.03,0,1.23,1.74,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.66,3.52,0,1.33,0,0.63,0,0
 36-46,0,0,0,0,0.62,0,0,1.07,0,0,5,0,0.58,0.74,2.42,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,4.73,0,0
 60-70,0,0,0,0,0.98,0,0.78,0,0,0,4,0,0,0.64,0,0,0
 72-82,0,0,0,0,0,0,0.52,2.24,0,0,3.08,0,0,0,0,0.94,0
 84-94,0,0,0,0,0,0.58,2.74,4.56,0,0,3.39,0,0,0,0,0.57,0.69
 96-106,0,0,1.04,0,0,0,1.53,0,0,0,3.28,0,4.78,0,0,0,0
108-118,0,0,0,1.25,0.73,2.22,3.38,3.52,0,0,5.01,0,7.23,0,0,0.44,0.43
120,0,0,0,0,0,0,41.86,0,3.54,0,0,0,38.03,0,0,0,2.49
