stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,xanthophores
  3-4,0,11.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,91.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,16.96,0,0,0,0,0,0,0,0,0,0,96.69,0,8.07,0,0,0,0,0,0
 10-12,0,0,0,0,9.93,0,0,0,0,0,0,0,15.31,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5.74,0,0,0,0,1.29,30.24,8.56,2.5,0
 24-34,0,0,0,0,0,14.5,0.8,0,5.64,0,0,28.77,33.46,0,0,0.62,0,11.5,12.42,9.35,0
 36-46,0,0,0,0,0.97,21.79,1.64,0,0,1.27,0,5.68,17.83,0,0,0,0,10.82,0.63,4.78,0
 48-58,0,0,0,0,3.02,19.81,0,0,0,0.88,0,13.64,20.46,0,0,0.51,0,9.12,0,1.37,2.31
 60-70,0,0,0,0,0,11.68,0,0,0,0,0,11.44,18.77,5.81,0,0,0,4.73,0,2.2,0
 72-82,0,0,0,0,3.91,0.53,0,0,0,0.77,0,0,2.42,0,0,0,0,1.59,0,0,0
 84-94,0,0,0,0.55,0,3.83,0,0,0,0,0,6.66,1.22,0,0,0,0,1.44,0,0,0
 96-106,0,0,0.94,3.88,0,11.5,3.47,0,0,0.93,0,1.37,22.06,0,0,0,0,2.14,0,0,0
108-118,0,0,0,0,0,1.79,0,1.33,0,0,1,2.65,0,0,0,0,0,3.64,0,0,0
120,0,0,0,0,9.72,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0
