stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.61,289.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0
  5-6,6.98,62.04,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,11.99,0,0,0,0,0,0,0,0,0,0,0,21.56,0,14.9,0,0,0,0,0,0
 10-12,0,26.92,8.69,0,11.01,15.35,0,0,0,0,0,0,0,0,0,0,0,160.52,14.83,41.49,0,0,0,0,0,0
 14-21,0,0,0.88,0.81,0.89,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0.85,0,0,0,0
 24-34,0,0,0,0,0,0,2.1,1.31,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.75,6.14,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,1.48,0,0.9,9.39,0,0,0,0,5.01,0,0,0
 48-58,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,2.43,0,0,12.25,0,0,0,0,4.03,0,0,0
 60-70,0,0,0,0,0,7.12,0,0,1.94,0,0,0,0,0,9.76,0,0.61,23.18,0,0,0,0,1.06,0,0,0
 72-82,0,0,0,0,0,2.26,0,0,0,0,0,0.5,0,0,2.6,0,0,11.54,0,0,0,0,1.97,2.72,4.01,0
 84-94,0,0,0,1.67,0,0.69,0,0,0,0,0,1.56,0,0,1.33,1.84,0,9.5,0,0,0.66,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,6.28,0,1.87,3.24,0,0,5.47,0,0,1.38,0,0
108-118,0,0,0,2.38,0,1.62,0,0,0,0.65,0,0,0.65,0,5.68,0,0,7.39,0,0,0.43,0,0,0.45,0,0.68
120,0,0,0,0,0,13.5,0,0,2.7,0,0,0,0,0,5.12,0,0,0,0,0,6.32,0,0,1.1,0,0
