stage,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,neural,otic,paraxial_mesoderm,periderm,somites,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0
 14-21,2.06,0,0,0,0,0,0,0,0.92,0,5.09,0,0,0,0,0
 24-34,0.69,0,0,0,0,0,0,0,2,0,0,0,0,0,0.66,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0
 72-82,0,2.46,0,0,0,1.18,0,0,27.49,0.53,1.09,0,0,0,0,0
 84-94,0,6.78,0,0,1.9,0,0,0.74,28.1,0.97,6.05,0,0,0,0,0
 96-106,0,0,4.24,0,2.54,0.69,0,0,47.8,0,1.61,0,0,1.17,0,0
108-118,0,0,2.71,0.84,1.31,1.31,0.44,0,49.67,0,4.54,0.58,0,1,0,1.08
120,0,0,0,0,2.51,1.65,0,0,22.76,0,1.92,0,0,0,0,0
