stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.82,4.82,15.58,5.09,0,10.39,0,0,0,7.12,0,0,0,0,0,0,0,0.93,0,27.08,0,0,16.64,397.9,2.03,0,1.21,1.18,0,8.06,1.23,8.85,2.33,4.8,12.47,67.58,0,0,0,0,0
 24-34,0,0.7,8.73,1.7,0,11.33,0,0.68,0,1.67,0,1.48,0,6.32,0,0,0,0,0,12.91,0,0,19.92,445.87,2.46,2.46,0,0,0,8.18,0.86,0,0,0,1.64,321.75,0,0,12.34,0,1.93
 36-46,0,0,2.2,0.57,0,11.93,0,0,0,8.34,0,0.59,0,0,0,0,0,0,0,22.56,0,0,6.51,666.49,0,15.39,0,0,0,5.72,0,0,0,10.79,0,695.46,0,0,1.72,0,5.12
 48-58,0,0,4.38,0,0,74.19,0,0.81,1.26,13.01,1.26,0,0,0,0,0,0,0,2.48,22.32,0,0,6.06,881.5,0.57,6.14,7.15,0,0,8.24,0,0,0.38,0,0,815.96,0,0,0.71,0,40.27
 60-70,0,0,15.17,0.91,0,170.25,0,2.67,0.87,19.2,4.03,0,0,0.98,0,0,0,0,9.95,25.36,0,0.63,0.67,992.81,2.02,8.8,0,0,0,8.58,0,0,0.93,0,0,746.6,0,0,1.73,0,18.51
 72-82,2.96,0,20.12,5.63,0,232.57,4.57,0,3.47,32.14,1.58,0,1.28,4.54,0,5.22,0.94,8.6,0,26.76,0,0,3.82,957.96,0,21.36,0,0,0,4.77,0,0,0,0,0,526.44,0,0,1.04,0,9.51
 84-94,0,0,49.96,14.72,0,113.19,4.49,0,0.65,93.83,0.87,0,0,3.79,4.3,0,0,0,0,53.01,0.58,4.5,0.79,862.95,0,3.9,0,0,7.18,10.95,0,0,0,0,0,292.6,0,0,0,0,27.52
 96-106,0.91,0,63.52,26.62,2.47,241.01,0.73,3,0,217.07,1.54,0,1.46,0.71,2.18,5.25,0,1.98,0,56.11,1.48,1.1,2.44,1426.43,0,12.89,1.04,0,0,10.45,0.64,0,0,0,0,304.82,0,0,1.62,0.76,45.55
108-118,0,0,67.79,7.4,0.72,130.56,0.98,0,0,442.11,2.42,0,0,4.19,4.64,1.91,0,10.2,0,26.06,0,1.6,7.9,841.32,0,4.65,2.41,0,0,2.79,0,0,0,0.47,0,222.57,6.98,0.99,0.44,0.74,0
120,0,0,23.89,2.35,0,188.08,0,0,0,1365.28,0,0,2.77,12.75,1.05,0,0,13.18,0,72.16,1.59,0,6.47,2600.29,0,26.79,1.28,0,0,19.1,0,0,9.87,0,0,803.74,1.24,0,0,0,0
