stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,19.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,14.4,0,4.49,0,9.48,0,0,0,0,0,0,0,0
 14-21,0,9.71,3.43,4.61,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,357.74,0,2.73,0,0,0,2.32,0,0,1.23,0,215.26,0,0,0,0,0
 24-34,0,3,0,6.21,0,0,13.65,17.52,0,0,0.86,0,0,2.43,0,0,0,0,3.75,2,0,0,0,1468.06,0.59,17.21,0,0,0,7.97,0.76,0,0,0.97,668.69,0,0,1.69,0,23.89
 36-46,0,8.28,0,1.74,0,0,35.46,0,0,0,5.08,0,0,0,0,0.74,0,0.57,3.63,3.26,0,0,0.98,3250.2,0,17.67,0,0,0,1.13,0,0,0,0,1165.41,0,0,2.36,0,24.96
 48-58,0,2.75,0,15.95,0,0,328.92,0,1.22,3.45,47.69,0,1.65,0.91,0,0,0,0,0,50.89,0,1.2,2.85,4918.74,0,26.2,0.43,0,0,11.25,0,0,0,0,1261.47,0,0,3.26,0,44.76
 60-70,0,0,0,5.94,3.58,0,1567.08,0,2.42,6.58,53.09,1.29,0,2.45,0,7.04,0,0,3.44,65.23,2.49,20.29,3.24,8089.57,0.75,31.88,0,0,2.33,4.81,0,0.62,0,0,1989.08,0,10.6,3.69,1.92,28.56
 72-82,0,5.13,0,30.58,25.36,3.49,3098.95,0,2.19,4.05,151.82,2.4,1.15,11.74,0,10.49,1.13,6.2,5.42,142.53,0,11.79,4.26,9220.24,0,67.19,15.79,0,1.4,21.19,0,0,0,0,1391.25,0,0,18.38,2.15,68.84
 84-94,0,4.27,0,37.34,2.33,0,2657.82,0.56,7.03,0,141.99,6.91,0,10.19,3.2,9.68,0,0.82,0,64.55,0,2.75,5.66,6655.27,0,50.96,4.29,0,4.37,17.63,0,1.1,0,0,1018.6,3.58,5.31,4.13,4.08,25.4
 96-106,0,0,0,43.85,32.18,0,2218.54,1.16,2.93,9.01,177.78,8.89,1.64,4.61,2.2,2.06,4.15,13.04,0,66.7,1.52,7.85,2.45,5925.25,0,77.37,4.92,0,2.45,28.28,0,3.02,5.77,0,422.09,1.13,4.21,21.48,1,22.07
108-118,0,5.07,0.89,62.29,9.61,2.27,2391.31,0.77,0,1.3,250.76,1.56,5.41,2.32,0,4.41,3.1,3.94,0,42.45,5,0,4.95,8338.19,0.56,48.36,1.1,0,0,5.91,0,0,0,0,451.39,2.03,8.81,6.43,3.68,11.94
120,0,0,0,56.67,17.69,0,2207.06,1.72,6.65,14.72,430.11,2.93,1.85,13.63,0,9.48,0,35.88,0,117.33,0,2.21,0,12705.51,2.33,74.58,0,0,0,5.48,0,0,0,0,676.95,0,0,0,0,8.45
