stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,29.7,69.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.33,0,0,0,0,0,22.8,0,7.55,0,0,0,0
 10-12,0,0,7.45,0,0,0,0,0,0,0,0,21.65,0,0,0,0,0,0
 14-21,0,0,0,17.32,0.83,0,0,0,0,6.76,0.95,1.74,0,0,0,0.99,2.67,0
 24-34,0,0,0,0.93,0,0,0,0,0,2.16,0,10.21,0,0,0,0,0.62,2.31
 36-46,0,0,0,0,0,0.56,5.04,1.75,0,0.99,0,13.11,1.09,0,8.57,0,0.72,0
 48-58,0,0,0,0,0,5.22,0,9.97,0,1.49,0,7.11,0,0,1.94,0,1.45,0
 60-70,0,0,0,0,0,8.71,0,0,0,1.35,0,12.24,0,0,0,0,2,0
 72-82,0,0,0,0.56,4.23,7.88,0,0,0.51,2.56,0,6.33,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,15.8,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.71,0,0,0,0,1.35,0,0,0,0,2.35,3.1
108-118,0,0,0,0.56,0,6.89,0.78,0,0,1.55,0,8.7,0,0,0.78,0,0,0
120,0,0,0,0,0,0,0,5.66,0,0,0,28.68,0,0,1.54,0,0,0
