stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,4.83,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.58,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0.88,0,0.88,4.46,0,0,0,0,0,0,0,1.12,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,1.2,0,0,5.54,0,0,0,0,1.79,0,1.91,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0,2.52,0,0,19.18,0,0,0,0,2.97,0,0,3.15,0,0
 48-58,0,0,0,0,0,20.37,0,0,1.31,0.51,0,0,0,0,0,0,3.13,0,0,53.21,0,0,0,0.97,6.38,0,0,6.96,0,0
 60-70,0,0,0,2.64,0,123.77,3.15,0,0.98,0,0,0,0,0,0,0,3.8,0,0,222.75,0,0,0,0,0,0,0,15.09,0,0
 72-82,0,0,0,1.68,0,234.14,0,3.1,2.62,4.33,0,0,0,0,0,1.81,6.3,0,0,365.59,0,0.76,0,1.77,7.81,0,0,20.18,5.36,0
 84-94,0,0,0,0,9.05,193.22,0,0,7.5,0,0,0.73,4.69,0,0,1.91,7.94,4.57,4.34,261.85,0,1.46,0,0,1.49,0,0,9.11,0,0
 96-106,0,0,0,4.99,0,199.5,0.69,0,3.58,0,0,0,0,3.16,2.69,3.1,6.78,0,2.41,253.6,0,0,0,0,3.78,0,0,14.4,0,1.22
108-118,0,0,0,3.84,0,176.6,0,0,5.52,0,0,0.85,0,0,0,7.42,11.46,0,0,249.33,1.3,0,0,0,2.04,0.42,0,14.03,0,0
120,0,0,1.28,5.51,0,153.78,0,0,3.71,0,1,0,0,0,0,0,49.42,0,0,514.04,2,0,0,0,3,0,0,25.88,0,0
