stage,epidermis,eye,glial,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,10.04,0,0,0,0,0,0,0
  7-9,0,9.41,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,26.06,0,0,0,0,0,4.5,0,0,0,0
 14-21,3.39,0,2.55,0,0,0,0,10.19,0,0.89,0,0,0,0,0,14.28,0,0
 24-34,0,0.67,2.86,0,1.5,0,1.72,17.94,0,0,0,0,0,0,0.64,9.37,0,0
 36-46,0,4.01,5.41,0,0.6,0,0,17.16,1.07,0,0,1.95,0,0.88,0,7.03,0,0
 48-58,0,5.28,1.57,7.05,2.01,0,0,5.1,1.07,0,0,0,0.65,0,0,6.04,0.43,0
 60-70,0,3.4,1.62,0,3.33,0,0,2.47,0,0.63,0,0,0,0,0,1.33,0,0
 72-82,0,3.89,1.25,0,2.44,0,0.83,4.11,2.02,0,0,0,0,0,0,0,0,0.93
 84-94,0,1.24,2.4,0,0.72,0,0,3.85,0,2.1,0,0,0,0,0,0,0,0
 96-106,1.5,0,2.49,0,5,1.41,0,5.62,1.63,0.65,0,0,0,0,0,0,0,0
108-118,0.51,9.9,0,0,3.27,0,0,6.9,0,0.92,0,0,0,0,0,1,2.89,0
120,0,3.36,21.62,0,0,0,0,13.89,1.15,0,0,0,0,0,0,0,0,0
