stage,axial,blastomeres,endoderm,eye,hatching_gland,mesenchyme,muscle,neural,paraxial_mesoderm,spinal_cord
  3-4,0,13.26,0,0,0,0,0,0,0,0
  5-6,22.74,77.76,0,0,0,0,0,7.86,0,0
  7-9,5.85,0,3.36,4.42,6.13,0,0,16.8,21.52,0
 10-12,0,0,0,0,0,0,0,18.67,0,0
 14-21,0,0,0,0,0,3.27,1.81,4.91,0.87,3.66
 24-34,0,0,0,0,0,0,0,1.69,0,0
