stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,10.18,760.45,0,0,0,0,0,0,0,0,0,0,0,0,0,35.59,0,0,0,0,0
  5-6,6.17,90.88,0,0,0,0,0,0,0,0,0,0,11.25,0,0,7.41,0,0,0,0,0
  7-9,0,4.35,0,0,4.91,0,0,3.74,0,0,0,0,3.24,0,0,0,25.74,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,11.65,0,0,0,5.47,0,0,0,0
 14-21,0,0,0,0,2.62,0,0,0,0,0,0,0.93,13.84,0,0,0,6.61,12.19,0,2.14,2.47
 24-34,0,0,0,0,1.59,0,0,0,0,0,0,0,5.94,0,0,0,0,0,0,0,2.68
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,1.66,5.46,0,0,0,0.78
 48-58,0,0,0,0,2.5,0,0,0,0,0,0,0,5.69,0,0.64,0,0,0,0,0,0
 60-70,0,0,0,0,2.8,1,0,0,0.56,0,0.88,1.58,11.97,1.19,0,0,0,0,0,0,2.53
 72-82,0,0,0,0,5.62,1.13,0,0,0,0,0,0,4.65,0,1.04,0,0.56,0,0,0,0
 84-94,0,0,0,0.97,1.74,2.45,0,0,1.24,0,0,0,1.66,0,1,0,0,0,0,0,0
 96-106,0,0,0,1.2,11.29,3.91,0,0,0.67,0,0,0.61,1.35,0,1.24,0,5.07,0,0,0,0
108-118,0,0,0.74,0,1.95,6.36,0.43,0,0,2.33,11.33,0.43,8.24,0,2.36,0,2.75,0,0,0,0
120,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0
