stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,10.46,394.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.4,508.04,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,31.37,0,0,0,8.76,0,0,0,0,0,0,0,0
  7-9,0,0,11.04,0,5.52,0,0,0,0,3.85,0,0,0,0,0,0,0,119.07,0,0,0,41.87,0,0,0,0,0,0,0,0
 10-12,0,7.32,0,0,5.69,0,0,0,0,4.29,0,0,0,0,0,0,0,76.71,0,0,0,15.42,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.91,0.99,0,0,0,0,1,0,0,0,0,0,0,0,20.52,0.97,0,1.27,1.03,0,0,3.78,1.3,4.75,0,0,0
 24-34,0,0,0,1.71,4.55,0,0,0,0,0,0,0,0.63,0.96,2.14,0.74,1.6,21.72,0,1.94,0,0,3.22,0,0,0,6.83,0,0,0
 36-46,0,0,0,1.04,2.49,0,0,3.84,1.33,0,2.2,0,0,0,3.81,0,0.72,61.61,0,3.03,1.6,0,3.13,0,0,0,8.21,0,0,0
 48-58,0,0,0,3.25,9,0,0.65,6.22,0,0,0,0.48,0,2.92,2.5,0,0.48,29.67,0,0.4,0,0,2.63,0,0,0,3.59,0,0,0
 60-70,0,0,0,0,2.84,0,0,17.15,2.49,0,0,0.62,0,0,3.92,0,0,44.63,0,0,1.46,0,0.78,0,0,0,0.72,0.61,0,0
 72-82,0,0,0,3.7,11.89,0,0,5.69,1.26,0,1.24,0,0,0,5.58,0,2.73,54.07,0,0,4.24,0,0.51,0,0,0,6.09,1.83,0,0
 84-94,0,0,0,6.17,6.63,0,0,6.38,2.6,0,2.88,0,0,0,4.21,0,1.19,47.89,0,0,0.89,0,13.9,0,0,0,0,5.83,0.57,0
 96-106,0,0,0,11.02,2.74,0.58,0.75,8.59,0,0,7.88,0,0.94,0,8.92,0,1.9,23.02,0,1.99,0,0,13.11,0,0,0,5.88,0.62,0.92,0
108-118,0,0,0,3.84,6.79,0,0,3.7,0.74,0,6.83,0,2.2,0,9.83,0.6,1.11,67.77,0,0,1.76,0,8.93,0.63,0,0,0,2.51,0,1.21
120,0,0,0,8.86,0,2.7,0,18.23,0,0,56.52,0,1.84,0,23.65,1.46,0,100.89,1.12,2.64,13.55,0,66.03,1.53,0,0,0,1.63,1.3,0
