stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature
  5-6,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.02,0,0,4.96,0,0,0,0,0,0,0
 14-21,0,0,421.27,0,0,5.21,0,0,0,2.51,0,0,0,0,1.03,1.08,10.79,0,0,0,1.82,0,0,3.82,0,0,0
 24-34,0,0,131.61,0,2.39,4.45,0,0,0,0,0,0.85,0,0,0.62,0,10.98,4.72,0,0,21.02,0,0,0,0.77,0,0
 36-46,0,0,33.75,0,0.82,0,0,0,0,0.57,0,0,0,0.77,0,0,2.36,2.89,0,0,27.2,0,0,0,0.94,0,0
 48-58,0,0,3.41,0,0.48,2.16,0.38,0,0,0,0,0,0,1.51,0.95,0,2.31,1.77,7.45,0,20.07,0,6.51,0,0,0,0
 60-70,0,0,10.27,0,3.38,4.15,0.6,0,0,1.79,0,0,0,1.66,0,0,10.8,5.25,0,0,22.9,0,0,0,0,0.61,0
 72-82,0,0,5.21,0,11.26,4.39,1.17,0.53,0,0.7,1.03,0.61,0,0,0.56,0,10.97,0.53,0,0,8.89,0,0,0,0,0.81,0
 84-94,0,0,5.56,0,4.43,2.43,0,0.96,0,0,4.18,0.8,0,0,0,0,3.7,0.83,0,0,40.6,1.4,0,0,0,0.58,1.74
 96-106,0,0,8.02,0,12.98,1.1,0,0,0,0,0,4.61,0,1.39,0.81,0,14.07,5.24,0,0,29.68,0,0,0,0,0,0
108-118,0,2.52,10.14,1.55,12.91,2.31,0,1.44,0.64,0.65,0,0,0.76,1.38,0,0,1.99,4.85,0,0,20.49,0,0.75,0,0,1.23,0
120,0,0,5.59,0,3.17,1.92,0,0,0,0,0,5.54,0,0,0,0,7.27,19.38,0,0,7.73,0,0,0,0,0,0
