stage,epidermis,eye,gut,ionocyte,iridophores,mesenchyme,mucous,neural,olfactory,periderm,pronephros,taste
 14-21,0,0,0,0,0,0,0,0,0,3.89,0,0
 24-34,0,0,0,0,0,0,0,0.89,0,18.86,0,0
 36-46,0,1.19,0.59,0,0,0,0,1.17,0,33.43,0,0
 48-58,0,0.67,0,0,0,0,0,2.34,0,7.77,0,0
 60-70,0,0,0,0,0,0,0,0.87,2.08,7.16,0,0
 72-82,0,0,0,0.53,0,0.58,0,0.74,0,12.01,0,0
 84-94,0,6.05,0,1.06,0,1.39,0,0,0.95,32.55,0,0
 96-106,5.38,0,2.77,0.73,0.64,4.39,0.71,0,3.06,29.98,0,0
108-118,11.17,0,1.24,0.65,0,0,0,0,2.03,18.37,0.45,0.42
120,3.03,2.74,0,3.37,0,0,0,3.7,0,42.47,0,0
