stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.15,0,0,0,0,0,0,0,0,0,19.07,3.69,0,0,3.45,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,1.12,0,1.11,1.07,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,1.38,4.31,0,0,0,0,0,0,0,2.85,0,2.2,0,0,2.98,0
 36-46,0,0,0,0,0,0,3.03,0,0,0,1.77,0,0,0,0,8.3,0,0,23.22,0,0,0,0,0,0,0,6.54,0,8.17,0,1.23,1.56,0
 48-58,0,2.12,0,0,0,0,9.02,0,0,0,9.22,0,0,0.68,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,4.11,0,0,3.65,0
 60-70,0,0,0,0,3.26,0,83.61,0,0,0,0,0,0,45.37,0,0,0,0,15.43,0,0,0,0,0,0,0,1.33,0,9.18,0,0,2.97,0
 72-82,0,0,0.5,0,11.73,0,114.51,0.66,0.65,0,0,1.29,8.04,245.36,5.68,1.59,0,0,40.84,0,1.33,0,0,0,0,0,0,0,0,0,0,3.8,0
 84-94,0,0,0.64,0,7.27,0,89.87,0,0.77,0,0,0,0,734.91,1.9,0,0,0,33.27,0,0,0,0,0,1.04,0,0,0,1.41,0,0,4.16,0
 96-106,0,4.46,11.86,0,31.7,0,142.54,0,0,2.97,0,0,1.15,1036.82,10.8,1.34,0,8.18,119.88,2.06,2.47,0,0,0,3.5,0,0,0,2.11,0.56,0,10.77,0.8
108-118,0,1.25,5.43,0,39.73,0.65,103.91,4.11,0,0.66,1,0,0,2119.73,37.63,0,0,4.76,157.98,0.46,1.25,4,0,1.49,7.25,0,0,0,0,0.68,0,1.52,2.04
120,0,1.06,9.28,2.02,2.89,0,105.02,3.05,0,0,0,0,0,1161.1,25.04,0,10,1.59,73.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
