stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,heart,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  3-4,47.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,0,0,0
  5-6,55.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0,0,28.38,4.97,0,18.35,0,0,0,0
 10-12,0,3.13,0,5.32,0,13.44,0,0,0,0,0,0,0,0,0,109.03,0,0,52.17,0,0,0,0
 14-21,0,0,5.79,0,0,0.97,0.99,0.82,0,0.96,0,0,0,0,1.85,18.9,0,0,0.89,0,3.11,1.43,2.71
 24-34,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,5.47,0,0,0,0,0,0,0
 36-46,0,0,4.1,0,0,0,1.16,0,0,0,0,0,2.87,0,0,5.34,0.92,0,0,0,0,0,1
 48-58,0,0,0,0,0,3.13,2.55,0,0,0,0,0,2.71,0,0,0.73,0,0,0,0,0,0,1.44
 60-70,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,3.54,0,0,0,0,0,0.89,0,0,1.02,0,0,0,0,0,0,0
 84-94,0,0,0.66,0,0,1.35,0.8,0,0,0,0,0,3.18,0,0,1.07,0,0,0,0.86,0,0,0
 96-106,0,0,1.66,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,7.5,0,0,0,0,0
108-118,0,0,1.34,0,3.16,0,0,0,0,0,0,1.34,1.79,5.97,0,1.67,0,0.54,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0
