stage,eye,mesenchyme,neural,periderm,taste
 36-46,0,0,0,2.24,0
 48-58,0,0,4.05,0,0
 72-82,0,0,0,0,0.5
 84-94,0,0,2.3,0,0
 96-106,2.54,0,0,0,0
120,0,1.45,7.11,0,0
