stage,epidermis,eye,glial,gut,neural,periderm
  7-9,0,3.96,0,0,8.19,0
 24-34,0,0,0,0,0,1.21
 84-94,0,0,6.78,0,0,0
 96-106,0,0,0,0,0,2.95
108-118,0,0,0,0.66,0,0
120,1.58,0,0,0,0,3.78
