stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,10.58,174.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,261.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0
  7-9,4.11,5.69,5,0,0,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.08,0,0,20.31,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,18.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.31,0,0,33.61,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.78,0.83,0.98,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0,1.94,53.08,0,0,0,0,3.17,0,1.91,6.4,15.25,0,0,0,0
 24-34,0,0,0,9.31,0,4.69,0,0,4.33,0,0,0,0,0,0,0,0,2.34,0,0,0,78.36,3.71,0.99,0,0,0,0,0,0,11.22,0,0,2.2,0
 36-46,0,0,0,0,0,9.81,0,0,0.86,0,0,0,0,0,0,0,1.22,2.68,0,0,1.66,98.9,2.9,0,0,2.2,0,0,0,0,17.94,0,1.37,1.31,0
 48-58,0,0,0,0,0,21.89,0,0.42,4.53,0,0.89,0,0,0,0,0,2.19,10.34,0,0,0.78,76.67,0,0,0,1.87,0,1.65,0,0,24.19,0,0,0,0
 60-70,0,0,0,0.59,0,36.17,0,0,5.78,0.75,0,0,0,0,0,0,0,17.94,0,0.7,2.53,62.7,0,0.59,0,0,0,0,0,0,1.27,0,0,0,0
 72-82,0,0,0,1.88,0,28.79,0,0,3.91,0,0,0,0,0.52,0,0,0,10.03,0,0,0,33.11,0,0,0,1.05,0,0,0,0,2.67,0,0.49,1.75,1.11
 84-94,0,0,0,1.11,0,7.58,0.63,4.32,3.36,0,0,0,0,0,0,0,0,7.94,1.13,0,0.75,41.42,0,0,0,1.78,0,0,0,0,7.92,0,0.77,3.47,0
 96-106,0,0,0,5.36,0,15.07,0,2.49,9.13,0,0,0.72,0,0,0.57,0.6,0,11.97,0,0,2.01,32.33,1.99,0,0,0.73,0,0,0,0,1.19,3.18,0.66,10.71,0
108-118,0,0,0,2.85,0,4.06,2.63,0.53,0.8,2.21,0.69,0.43,0,0,0,0,0,4.12,0,0,0.85,42.57,1.6,3.23,0,0.57,0,0,0.5,0,0,0,0,1.6,0
120,0,0,0,0,0,8.3,0,0,0,0,0,0,1.1,0,0,1.05,0,7.81,0,0,0,26.87,0,0,0,0,0,0,0,0,0,0,0,2.99,0
