stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,107.42,1623.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0
  5-6,40.13,1670.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.58,14.56,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0
  7-9,0,10.24,0,9.71,0,0,0,7.01,0,0,0,0,0,6.98,0,0,0,0,0,0,0,0,0,0,156.39,5.59,0,0,67.29,0,4.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.23,20.21,1.08,0,3.57,0,0,0,0,2.15,5.26,1.07,0,1.08,0,0,0,1.29,0,0,2.03,199.06,0,3.06,3,0,0,4.23,1.38,0,2.68,0.84,11.11,0,0,0.82,0
 24-34,0,0,0,1.31,13.24,0,0,3.84,0,1.79,0,8.61,0.63,2.67,9.77,0,1.32,0,0,0,0.85,3.87,0,0,357.95,0,6.84,6.72,0,0,2.51,0,0.97,10.02,0,21.23,0,0,12.05,0
 36-46,0,0,0,0,9.14,0,0,12.22,0,3.96,0.95,26.02,5.1,0.76,16.61,0,0,0,1.78,0.56,8,7.72,0,1.17,314,0,1.22,11.68,0,0,2.68,0,0,47.61,0,23.78,0,0,7.54,0
 48-58,0,0,0,0,9.46,0,0,23.72,3.41,1.65,0,34.65,2.4,2.97,7.23,0,5.74,0.54,0.81,4.44,8.92,13.73,0.84,1.23,213.18,0,3.19,8.71,0,0,0,0,0,13.84,0,14.27,0,0,0.53,0
 60-70,0,0,0,0,15.27,0,0,47.73,0,2.18,0,42.21,2.36,0.63,7.8,0,5.28,0,0,8.47,4.24,29.02,0,0,390.95,0,0,14.31,0,0,2.88,0,0,9.95,0,22.97,0.61,0,10.13,0
 72-82,0,0,0,0.75,8.48,0.52,0.76,58.57,0,0,0,44.38,14.59,1.66,13.49,0.61,4.64,0.72,7.39,0,30.28,24.34,0.72,0,645.24,0,3.33,10.02,0,2.17,0,0,0,11.75,0,17.41,0,0.99,6.3,0
 84-94,0,0,0,0,23.15,2.47,5.47,52.7,0,9.73,0,53.22,32.08,0,14.45,0,2.14,0,3.2,2.07,31.74,54.49,2.23,0,470.12,0,8.7,31.29,0,0,6.15,0,0,22.1,0,13.75,2.67,0,9.3,1.59
 96-106,0,0,0.95,0,10.84,4.61,5.03,81.71,1.83,2.18,0,26.97,45.92,0,12.36,0,1.56,0,3.02,2.59,30.54,67.03,0.59,0,541.71,0,17.33,22.73,0,0,5.51,0,0,13.33,0,29.71,3.28,0,8.49,0
108-118,0,0,0,1.2,27.65,0.71,25.83,63.6,0.46,4.05,1.22,82.4,51.15,0,11.84,0.87,10.5,0.65,3.03,4.55,33.29,76.38,5.13,1.32,774.93,0.43,14.19,18.28,0,3.71,4.58,0,0,18.21,0,6.1,3.68,1.4,10.39,0
120,0,0,2.96,4.41,9.24,1.69,7.32,43.08,0,6.59,19.12,80.2,25.04,0,17.9,0,8.02,1.17,6.94,3.71,21.77,13.83,0,0,1347.86,2.58,3.61,17.97,0,0,0,0,0,28.11,0,25.65,0,0,17.82,0
